
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Mon Feb 16 00:00:00 2015, 1424066400, 173, 163, 106, 21.63181, 21.62045, 21.65496, -10.82587, 0.09900, 298/900
Mon Feb 16 00:15:00 2015, 1424067300, 501, 472, 296, 21.63536, 21.62874, 21.65214, -10.84270, 0.09900, 896/900
Mon Feb 16 00:30:00 2015, 1424068200, 497, 473, 303, 21.63468, 21.62460, 21.66173, -10.76600, 0.09900, 897/900
Mon Feb 16 00:45:00 2015, 1424069100, 501, 472, 290, 21.63855, 21.62676, 21.65368, -10.75329, 0.09899, 894/900
Mon Feb 16 01:00:00 2015, 1424070000, 505, 474, 292, 21.63592, 21.63096, 21.65842, -10.80232, 0.09900, 897/900
Mon Feb 16 01:15:00 2015, 1424070900, 498, 468, 303, 21.63875, 21.62748, 21.65798, -10.74392, 0.09900, 897/900
Mon Feb 16 01:30:00 2015, 1424071800, 507, 460, 310, 21.63570, 21.63114, 21.66548, -10.72710, 0.09900, 896/900
Mon Feb 16 01:45:00 2015, 1424072700, 509, 460, 300, 21.63789, 21.62961, 21.66250, -10.69507, 0.09898, 897/900
Mon Feb 16 02:00:00 2015, 1424073600, 491, 471, 300, 21.63237, 21.62881, 21.65928, -10.64032, 0.09895, 896/900
Mon Feb 16 02:15:00 2015, 1424074500, 503, 472, 292, 21.62634, 21.62360, 21.64755, -10.66656, 0.09897, 897/900
Mon Feb 16 02:30:00 2015, 1424075400, 509, 480, 294, 21.63010, 21.62898, 21.65136, -10.70204, 0.09899, 896/900
Mon Feb 16 02:45:00 2015, 1424076300, 512, 471, 293, 21.62565, 21.62638, 21.65978, -10.67889, 0.09898, 897/900
Mon Feb 16 03:00:00 2015, 1424077200, 495, 476, 292, 21.63684, 21.62570, 21.65703, -10.65589, 0.09900, 896/900
Mon Feb 16 03:15:00 2015, 1424078100, 505, 471, 298, 21.62921, 21.62819, 21.66088, -10.65823, 0.09896, 896/900
Mon Feb 16 03:30:00 2015, 1424079000, 518, 487, 312, 21.63235, 21.61508, 21.63555, -10.74908, 0.09900, 897/900
Mon Feb 16 03:45:00 2015, 1424079900, 517, 486, 279, 21.62800, 21.62740, 21.65171, -10.74657, 0.09900, 896/900
Mon Feb 16 04:00:00 2015, 1424080800, 496, 478, 307, 21.63195, 21.62573, 21.64923, -10.70142, 0.09900, 897/900
Mon Feb 16 04:15:00 2015, 1424081700, 504, 477, 307, 21.62941, 21.61964, 21.63774, -10.86365, 0.09900, 896/900
Mon Feb 16 04:30:00 2015, 1424082600, 509, 473, 304, 21.63075, 21.62325, 21.65534, -10.82754, 0.09900, 897/900
Mon Feb 16 04:45:00 2015, 1424083500, 506, 475, 301, 21.62665, 21.61768, 21.64229, -10.83247, 0.09899, 896/900
Mon Feb 16 05:00:00 2015, 1424084400, 500, 488, 302, 21.62033, 21.61876, 21.64921, -10.82589, 0.09899, 897/900
Mon Feb 16 05:15:00 2015, 1424085300, 516, 480, 310, 21.62460, 21.61742, 21.65244, -10.86503, 0.09899, 896/900
Mon Feb 16 05:30:00 2015, 1424086200, 523, 484, 296, 21.62853, 21.62244, 21.65067, -10.84383, 0.09900, 897/900
Mon Feb 16 05:45:00 2015, 1424087100, 511, 475, 292, 21.62590, 21.61771, 21.64280, -10.74730, 0.09900, 897/900
Mon Feb 16 06:00:00 2015, 1424088000, 506, 477, 288, 21.62816, 21.62289, 21.64604, -10.77455, 0.09899, 896/900
Mon Feb 16 06:15:00 2015, 1424088900, 502, 472, 306, 21.62543, 21.61228, 21.64159, -10.68587, 0.09900, 897/900
Mon Feb 16 06:30:00 2015, 1424089800, 505, 466, 290, 21.62003, 21.61296, 21.64959, -10.67095, 0.09900, 896/900
Mon Feb 16 06:45:00 2015, 1424090700, 492, 476, 306, 21.63099, 21.63103, 21.65616, -10.62790, 0.09900, 897/900
Mon Feb 16 07:00:00 2015, 1424091600, 510, 472, 308, 21.63240, 21.62006, 21.64342, -10.60178, 0.09902, 896/900
Mon Feb 16 07:15:00 2015, 1424092500, 502, 482, 300, 21.62882, 21.62574, 21.65098, -10.61677, 0.10060, 897/900
