
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sat Feb 14 00:00:00 2015, 1423893600, 171, 154, 95, 21.60485, 21.61280, 21.63095, -9.42681, 0.09900, 297/900
Sat Feb 14 00:15:00 2015, 1423894500, 496, 477, 299, 21.61031, 21.60007, 21.63137, -9.34566, 0.09900, 897/900
Sat Feb 14 00:30:00 2015, 1423895400, 486, 470, 299, 21.61069, 21.59452, 21.63003, -9.22840, 0.09900, 896/900
Sat Feb 14 00:45:00 2015, 1423896300, 491, 466, 289, 21.61259, 21.59969, 21.63622, -9.18523, 0.09899, 897/900
Sat Feb 14 01:00:00 2015, 1423897200, 502, 469, 295, 21.61002, 21.60539, 21.63832, -9.22109, 0.09897, 896/900
Sat Feb 14 01:15:00 2015, 1423898100, 499, 478, 294, 21.61431, 21.60574, 21.63955, -9.33502, 0.09900, 897/900
Sat Feb 14 01:30:00 2015, 1423899000, 492, 478, 297, 21.60988, 21.60362, 21.63978, -9.42519, 0.09900, 896/900
Sat Feb 14 01:45:00 2015, 1423899900, 501, 465, 298, 21.60763, 21.60031, 21.62903, -9.48371, 0.09900, 897/900
Sat Feb 14 02:00:00 2015, 1423900800, 498, 483, 288, 21.61494, 21.59686, 21.63463, -9.67091, 0.09899, 896/900
Sat Feb 14 02:15:00 2015, 1423901700, 514, 482, 299, 21.60208, 21.60448, 21.63287, -9.83518, 0.09900, 897/900
Sat Feb 14 02:30:00 2015, 1423902600, 508, 488, 306, 21.60011, 21.59461, 21.63109, -10.11910, 0.09900, 896/900
Sat Feb 14 02:45:00 2015, 1423903500, 526, 493, 308, 21.60564, 21.59826, 21.64020, -10.40581, 0.09908, 897/900
Sat Feb 14 03:00:00 2015, 1423904400, 529, 490, 293, 21.60184, 21.59946, 21.63362, -10.79527, 0.09937, 896/900
Sat Feb 14 03:15:00 2015, 1423905300, 538, 528, 318, 21.59777, 21.59314, 21.61484, -11.68800, 0.09982, 896/900
Sat Feb 14 03:30:00 2015, 1423906200, 563, 556, 325, 21.59126, 21.57707, 21.62412, -12.39625, 0.10000, 897/900
Sat Feb 14 03:45:00 2015, 1423907100, 564, 552, 332, 21.59922, 21.59004, 21.62427, -12.75426, 0.10017, 896/900
Sat Feb 14 04:00:00 2015, 1423908000, 583, 572, 342, 21.59977, 21.58351, 21.62375, -13.19983, 0.10061, 897/900
Sat Feb 14 04:15:00 2015, 1423908900, 579, 565, 336, 21.60681, 21.58689, 21.63185, -13.45156, 0.10100, 896/900
Sat Feb 14 04:30:00 2015, 1423909800, 580, 566, 336, 21.60138, 21.59112, 21.62825, -13.63779, 0.10100, 896/900
Sat Feb 14 04:45:00 2015, 1423910700, 576, 564, 336, 21.59769, 21.58517, 21.62201, -13.80455, 0.10100, 897/900
Sat Feb 14 05:00:00 2015, 1423911600, 586, 564, 346, 21.60179, 21.59598, 21.62391, -13.94825, 0.10100, 896/900
Sat Feb 14 05:15:00 2015, 1423912500, 587, 575, 342, 21.60139, 21.58626, 21.63926, -14.29442, 0.10100, 897/900
Sat Feb 14 05:30:00 2015, 1423913400, 597, 575, 348, 21.59324, 21.58383, 21.62054, -14.59033, 0.10103, 896/900
Sat Feb 14 05:45:00 2015, 1423914300, 590, 585, 340, 21.61012, 21.59470, 21.63601, -14.93569, 0.10143, 897/900
Sat Feb 14 06:00:00 2015, 1423915200, 603, 589, 361, 21.60461, 21.59238, 21.63041, -15.41328, 0.10158, 896/900
Sat Feb 14 06:15:00 2015, 1423916100, 609, 593, 367, 21.60968, 21.60016, 21.63532, -15.83745, 0.10199, 895/900
Sat Feb 14 06:30:00 2015, 1423917000, 625, 586, 352, 21.60563, 21.59464, 21.62226, -16.15798, 0.10200, 897/900
Sat Feb 14 06:45:00 2015, 1423917900, 622, 594, 357, 21.60996, 21.59578, 21.62544, -16.51095, 0.10200, 896/900
Sat Feb 14 07:00:00 2015, 1423918800, 626, 599, 362, 21.60227, 21.59367, 21.64000, -16.88707, 0.10243, 897/900
Sat Feb 14 07:15:00 2015, 1423919700, 635, 601, 368, 21.60591, 21.59954, 21.63096, -17.04368, 0.10521, 896/900
Sat Feb 14 07:30:00 2015, 1423920600, 634, 611, 361, 21.61221, 21.60108, 21.63226, -17.22578, 0.11319, 897/900
Sat Feb 14 07:45:00 2015, 1423921500, 641, 625, 373, 21.61064, 21.59304, 21.63726, -17.52072, 0.12386, 896/900
Sat Feb 14 08:00:00 2015, 1423922400, 648, 606, 376, 21.60527, 21.59576, 21.63251, -17.58750, 0.13413, 897/900
Sat Feb 14 08:15:00 2015, 1423923300, 638, 597, 377, 21.61483, 21.60201, 21.64110, -17.66946, 0.14423, 896/900
Sat Feb 14 08:30:00 2015, 1423924200, 635, 594, 374, 21.62120, 21.60128, 21.64011, -17.66873, 0.15448, 897/900
