
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Thu Feb 19 00:00:00 2015, 1424325600, 211, 194, 133, 21.63756, 21.63627, 21.67539, -20.25638, 0.10302, 298/900
Thu Feb 19 00:15:00 2015, 1424326500, 640, 597, 370, 21.65027, 21.63898, 21.67708, -20.42223, 0.10300, 896/900
Thu Feb 19 00:30:00 2015, 1424327400, 633, 598, 386, 21.65364, 21.64329, 21.66836, -20.44756, 0.10300, 897/900
Thu Feb 19 00:45:00 2015, 1424328300, 636, 605, 379, 21.65678, 21.63392, 21.68310, -20.62847, 0.10303, 896/900
Thu Feb 19 01:00:00 2015, 1424329200, 644, 592, 387, 21.65008, 21.64636, 21.66858, -20.65926, 0.10311, 897/900
Thu Feb 19 01:15:00 2015, 1424330100, 639, 596, 367, 21.64706, 21.63686, 21.67924, -20.67945, 0.10342, 896/900
Thu Feb 19 01:30:00 2015, 1424331000, 658, 609, 405, 21.64618, 21.64951, 21.67499, -20.88994, 0.10321, 897/900
Thu Feb 19 01:45:00 2015, 1424331900, 649, 614, 407, 21.65309, 21.63922, 21.67777, -20.90327, 0.10340, 896/900
Thu Feb 19 02:00:00 2015, 1424332800, 658, 611, 392, 21.64807, 21.64804, 21.66414, -21.09675, 0.10313, 897/900
Thu Feb 19 02:15:00 2015, 1424333700, 651, 615, 383, 21.64537, 21.64623, 21.66614, -21.33369, 0.10326, 896/900
Thu Feb 19 02:30:00 2015, 1424334600, 651, 612, 390, 21.64571, 21.63936, 21.67000, -21.49941, 0.10345, 897/900
Thu Feb 19 02:45:00 2015, 1424335500, 654, 623, 403, 21.64250, 21.63519, 21.67381, -21.60701, 0.10380, 896/900
Thu Feb 19 03:00:00 2015, 1424336400, 667, 623, 381, 21.65418, 21.64196, 21.67450, -21.78214, 0.10398, 897/900
Thu Feb 19 03:15:00 2015, 1424337300, 665, 612, 405, 21.65005, 21.63691, 21.68444, -21.95841, 0.10399, 896/900
Thu Feb 19 03:30:00 2015, 1424338200, 659, 601, 386, 21.65687, 21.64803, 21.66989, -22.54834, 0.10378, 897/900
Thu Feb 19 03:45:00 2015, 1424339100, 661, 615, 404, 21.64804, 21.64631, 21.67447, -22.22181, 0.10400, 896/900
Thu Feb 19 04:00:00 2015, 1424340000, 665, 609, 402, 21.65080, 21.64645, 21.66567, -22.39742, 0.10394, 897/900
Thu Feb 19 04:15:00 2015, 1424340900, 657, 608, 399, 21.65872, 21.64745, 21.68565, -22.87988, 0.10377, 896/900
Thu Feb 19 04:30:00 2015, 1424341800, 656, 607, 388, 21.65513, 21.65655, 21.68012, -22.93523, 0.10397, 897/900
