
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Thu Feb  5 00:00:00 2015, 1423116000, 211, 201, 122, 21.62915, 21.61178, 21.67730, -19.48453, 0.10300, 297/900
Thu Feb  5 00:15:00 2015, 1423116900, 631, 594, 379, 21.63688, 21.62642, 21.65279, -19.62492, 0.10300, 897/900
Thu Feb  5 00:30:00 2015, 1423117800, 625, 599, 374, 21.64013, 21.63602, 21.66268, -19.85964, 0.10300, 896/900
Thu Feb  5 00:45:00 2015, 1423118700, 628, 602, 371, 21.63915, 21.62342, 21.65607, -19.99276, 0.10300, 896/900
Thu Feb  5 01:00:00 2015, 1423119600, 645, 616, 377, 21.63499, 21.61784, 21.66466, -20.05370, 0.10302, 897/900
Thu Feb  5 01:15:00 2015, 1423120500, 641, 615, 366, 21.63679, 21.62409, 21.67315, -20.03897, 0.10301, 896/900
Thu Feb  5 01:30:00 2015, 1423121400, 639, 613, 374, 21.64447, 21.62876, 21.65767, -20.13871, 0.10305, 897/900
Thu Feb  5 01:45:00 2015, 1423122300, 641, 621, 373, 21.63732, 21.62459, 21.66322, -20.18817, 0.10317, 896/900
Thu Feb  5 02:00:00 2015, 1423123200, 636, 605, 376, 21.64015, 21.62160, 21.66923, -20.27504, 0.10304, 897/900
Thu Feb  5 02:15:00 2015, 1423124100, 641, 623, 392, 21.64203, 21.62972, 21.67365, -20.35307, 0.10334, 896/900
Thu Feb  5 02:30:00 2015, 1423125000, 643, 616, 382, 21.63528, 21.62343, 21.65602, -20.52924, 0.10338, 897/900
Thu Feb  5 02:45:00 2015, 1423125900, 641, 618, 380, 21.63583, 21.62290, 21.66317, -20.64195, 0.10346, 896/900
Thu Feb  5 03:00:00 2015, 1423126800, 650, 603, 392, 21.64576, 21.62295, 21.67238, -20.95148, 0.10311, 897/900
Thu Feb  5 03:15:00 2015, 1423127700, 645, 606, 374, 21.64302, 21.62611, 21.65922, -21.03562, 0.10301, 897/900
Thu Feb  5 03:30:00 2015, 1423128600, 637, 604, 381, 21.64028, 21.63457, 21.66606, -21.11280, 0.10313, 896/900
Thu Feb  5 03:45:00 2015, 1423129500, 632, 599, 392, 21.64240, 21.63082, 21.66400, -21.28192, 0.10305, 897/900
Thu Feb  5 04:00:00 2015, 1423130400, 614, 595, 388, 21.64102, 21.63723, 21.66801, -21.48539, 0.10300, 896/900
Thu Feb  5 04:15:00 2015, 1423131300, 651, 598, 387, 21.64293, 21.63348, 21.65898, -22.74806, 0.10300, 897/900
Thu Feb  5 04:30:00 2015, 1423132200, 644, 608, 392, 21.64542, 21.64126, 21.66358, -23.22979, 0.10302, 896/900
Thu Feb  5 04:45:00 2015, 1423133100, 656, 604, 396, 21.64649, 21.63896, 21.65928, -22.19762, 0.10388, 897/900
Thu Feb  5 05:00:00 2015, 1423134000, 646, 609, 396, 21.64539, 21.63823, 21.67605, -21.64396, 0.10397, 896/900
Thu Feb  5 05:15:00 2015, 1423134900, 645, 605, 387, 21.64467, 21.64126, 21.66391, -22.66300, 0.10362, 897/900
Thu Feb  5 05:30:00 2015, 1423135800, 651, 600, 388, 21.64847, 21.63668, 21.67210, -22.89902, 0.10381, 896/900
Thu Feb  5 05:45:00 2015, 1423136700, 654, 612, 397, 21.64469, 21.63281, 21.67448, -22.56298, 0.10386, 897/900
Thu Feb  5 06:00:00 2015, 1423137600, 642, 608, 395, 21.65838, 21.64269, 21.67276, -22.27862, 0.10376, 896/900
Thu Feb  5 06:15:00 2015, 1423138500, 635, 613, 381, 21.64241, 21.63880, 21.67290, -21.80715, 0.10396, 895/900
Thu Feb  5 06:30:00 2015, 1423139400, 642, 606, 392, 21.64210, 21.63991, 21.66214, -22.04438, 0.10366, 894/900
Thu Feb  5 06:45:00 2015, 1423140300, 651, 601, 394, 21.63707, 21.64179, 21.68187, -21.64026, 0.10371, 897/900
Thu Feb  5 07:00:00 2015, 1423141200, 638, 604, 397, 21.65061, 21.63783, 21.67922, -21.55216, 0.10359, 896/900
Thu Feb  5 07:15:00 2015, 1423142100, 635, 597, 377, 21.64831, 21.64382, 21.67713, -21.39634, 0.10376, 897/900
Thu Feb  5 07:30:00 2015, 1423143000, 630, 590, 376, 21.65109, 21.64474, 21.67135, -20.96284, 0.10700, 896/900
Thu Feb  5 07:45:00 2015, 1423143900, 625, 568, 386, 21.65049, 21.64639, 21.68467, -20.96376, 0.11485, 897/900
Thu Feb  5 08:00:00 2015, 1423144800, 623, 571, 370, 21.65717, 21.64432, 21.67540, -19.67131, 0.12521, 896/900
Thu Feb  5 08:15:00 2015, 1423145700, 616, 568, 368, 21.65250, 21.64558, 21.67441, -18.29554, 0.13496, 897/900
Thu Feb  5 08:30:00 2015, 1423146600, 605, 555, 352, 21.65561, 21.64782, 21.68201, -17.65434, 0.14398, 896/900
Thu Feb  5 08:45:00 2015, 1423147500, 587, 513, 352, 21.65389, 21.65806, 21.67466, -16.90004, 0.20119, 897/900
Thu Feb  5 09:00:00 2015, 1423148400, 568, 313, 333, 21.64746, 21.69014, 21.66625, -14.83140, 0.38541, 896/900
Thu Feb  5 09:15:00 2015, 1423149300, 498, 208, 288, 21.66087, 21.71210, 21.68094, -13.10757, 0.45734, 897/900
Thu Feb  5 09:30:00 2015, 1423150200, 449, 147, 266, 21.67030, 21.71460, 21.68219, -11.38887, 0.50528, 896/900
Thu Feb  5 09:45:00 2015, 1423151100, 436, 116, 273, 21.66107, 21.74001, 21.70480, -10.68228, 0.54900, 895/900
Thu Feb  5 10:00:00 2015, 1423152000, 434, 73, 259, 21.66523, 21.75151, 21.68743, -10.23252, 0.59005, 896/900
Thu Feb  5 10:15:00 2015, 1423152900, 421, 34, 262, 21.66953, 21.77152, 21.69628, -9.60348, 0.62930, 897/900
Thu Feb  5 10:30:00 2015, 1423153800, 412, 13, 245, 21.67605, 21.81560, 21.68561, -9.71589, 0.65119, 896/900
Thu Feb  5 10:45:00 2015, 1423154700, 415, 0, 243, 21.68378, 22.24954, 21.70303, -9.06688, 0.66105, 897/900
Thu Feb  5 11:00:00 2015, 1423155600, 397, 0, 248, 21.67641, 23.58072, 21.70626, -8.70528, 0.66808, 896/900
Thu Feb  5 11:15:00 2015, 1423156500, 415, 0, 249, 21.68638, 25.11352, 21.70667, -8.29826, 0.67357, 897/900
Thu Feb  5 11:30:00 2015, 1423157400, 379, 0, 237, 21.69066, 31.19135, 21.71472, -7.35999, 0.67668, 896/900
Thu Feb  5 11:45:00 2015, 1423158300, 377, 0, 230, 21.69510, 35.28106, 21.70350, -6.68219, 0.63750, 897/900
Thu Feb  5 12:00:00 2015, 1423159200, 396, 0, 232, 21.68078, 27.83597, 21.70609, -6.88530, 0.52546, 896/900
Thu Feb  5 12:15:00 2015, 1423160100, 408, 0, 249, 21.68476, 31.53258, 21.71357, -6.56292, 0.60505, 897/900
Thu Feb  5 12:30:00 2015, 1423161000, 396, 17, 251, 21.68328, 24.00721, 21.69509, -5.37471, 0.58938, 896/900
Thu Feb  5 12:45:00 2015, 1423161900, 388, 161, 232, 21.68232, 21.95728, 21.70179, -4.38391, 0.53928, 897/900
Thu Feb  5 13:00:00 2015, 1423162800, 388, 163, 233, 21.68152, 21.72855, 21.71258, -3.59043, 0.52612, 896/900
Thu Feb  5 13:15:00 2015, 1423163700, 374, 51, 220, 21.69691, 25.26432, 21.71809, -3.95051, 0.63750, 897/900
Thu Feb  5 13:30:00 2015, 1423164600, 363, 0, 216, 21.71831, 31.88317, 21.72547, -4.32000, 0.63854, 896/900
Thu Feb  5 13:45:00 2015, 1423165500, 348, 0, 214, 21.72927, 32.03511, 21.75466, -3.92718, 0.62447, 897/900
