
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Mon Jan 26 00:00:00 2015, 1422252000, 138, 131, 78, 21.54953, 21.54976, 21.58425, -5.65000, 0.09700, 298/900
Mon Jan 26 00:15:00 2015, 1422252900, 431, 389, 256, 21.55475, 21.54923, 21.56809, -5.18243, 0.09700, 896/900
Mon Jan 26 00:30:00 2015, 1422253800, 417, 382, 244, 21.55755, 21.55134, 21.58056, -4.78823, 0.09675, 896/900
Mon Jan 26 00:45:00 2015, 1422254700, 407, 372, 232, 21.56540, 21.56171, 21.58341, -4.64130, 0.09644, 897/900
Mon Jan 26 01:00:00 2015, 1422255600, 407, 371, 242, 21.56730, 21.55724, 21.59216, -4.55527, 0.09600, 896/900
Mon Jan 26 01:15:00 2015, 1422256500, 408, 384, 244, 21.56809, 21.56264, 21.58105, -4.31673, 0.09605, 897/900
Mon Jan 26 01:30:00 2015, 1422257400, 403, 377, 242, 21.57356, 21.57328, 21.58494, -4.09646, 0.09600, 896/900
Mon Jan 26 01:45:00 2015, 1422258300, 396, 367, 241, 21.57310, 21.57775, 21.59427, -3.92029, 0.09600, 897/900
Mon Jan 26 02:00:00 2015, 1422259200, 395, 372, 231, 21.58376, 21.57521, 21.60185, -3.76432, 0.09600, 897/900
Mon Jan 26 02:15:00 2015, 1422260100, 388, 362, 227, 21.57187, 21.57498, 21.58852, -3.72729, 0.09599, 896/900
Mon Jan 26 02:30:00 2015, 1422261000, 397, 355, 238, 21.56714, 21.56877, 21.59032, -3.31091, 0.09599, 896/900
Mon Jan 26 02:45:00 2015, 1422261900, 384, 356, 233, 21.57663, 21.57007, 21.59826, -3.00866, 0.09562, 897/900
Mon Jan 26 03:00:00 2015, 1422262800, 370, 345, 227, 21.57783, 21.57675, 21.59787, -2.62791, 0.09538, 896/900
Mon Jan 26 03:15:00 2015, 1422263700, 379, 356, 231, 21.57741, 21.56988, 21.59479, -2.46080, 0.09548, 897/900
Mon Jan 26 03:30:00 2015, 1422264600, 379, 356, 240, 21.58026, 21.57043, 21.59063, -2.22173, 0.09559, 896/900
Mon Jan 26 03:45:00 2015, 1422265500, 371, 350, 215, 21.57511, 21.57541, 21.59251, -1.88376, 0.09504, 897/900
Mon Jan 26 04:00:00 2015, 1422266400, 374, 345, 224, 21.58604, 21.58273, 21.60078, -1.60626, 0.09502, 896/900
Mon Jan 26 04:15:00 2015, 1422267300, 371, 357, 221, 21.58218, 21.57792, 21.61338, -1.35954, 0.09500, 897/900
Mon Jan 26 04:30:00 2015, 1422268200, 368, 345, 215, 21.58176, 21.58195, 21.60557, -1.23200, 0.09500, 896/900
Mon Jan 26 04:45:00 2015, 1422269100, 365, 351, 208, 21.58537, 21.57302, 21.59431, -1.16922, 0.09500, 897/900
Mon Jan 26 05:00:00 2015, 1422270000, 368, 344, 226, 21.59107, 21.57847, 21.60369, -1.17565, 0.09500, 896/900
Mon Jan 26 05:15:00 2015, 1422270900, 362, 354, 212, 21.58119, 21.58172, 21.60156, -0.95063, 0.09500, 897/900
Mon Jan 26 05:30:00 2015, 1422271800, 358, 337, 224, 21.58967, 21.58094, 21.60538, -0.55760, 0.09500, 896/900
Mon Jan 26 05:45:00 2015, 1422272700, 345, 331, 204, 21.58995, 21.58210, 21.61822, -0.29110, 0.09498, 897/900
Mon Jan 26 06:00:00 2015, 1422273600, 341, 324, 214, 21.59940, 21.58958, 21.62176, -0.08381, 0.09457, 896/900
Mon Jan 26 06:15:00 2015, 1422274500, 353, 328, 210, 21.59410, 21.59091, 21.61657, 0.10347, 0.09411, 896/900
Mon Jan 26 06:30:00 2015, 1422275400, 344, 330, 193, 21.59455, 21.58099, 21.61205, 0.25457, 0.09420, 896/900
Mon Jan 26 06:45:00 2015, 1422276300, 336, 322, 205, 21.59891, 21.59801, 21.62221, 0.34816, 0.09408, 897/900
Mon Jan 26 07:00:00 2015, 1422277200, 348, 313, 198, 21.60875, 21.60079, 21.62551, 0.41193, 0.09401, 896/900
Mon Jan 26 07:15:00 2015, 1422278100, 343, 318, 209, 21.59457, 21.59150, 21.60723, 0.52499, 0.09415, 897/900
Mon Jan 26 07:30:00 2015, 1422279000, 343, 326, 196, 21.60117, 21.60246, 21.62308, 0.70989, 0.09465, 896/900
Mon Jan 26 07:45:00 2015, 1422279900, 336, 316, 197, 21.60710, 21.60050, 21.62815, 0.93718, 0.09625, 897/900
Mon Jan 26 08:00:00 2015, 1422280800, 326, 313, 193, 21.61037, 21.60745, 21.63272, 1.14635, 0.10142, 896/900
Mon Jan 26 08:15:00 2015, 1422281700, 325, 303, 206, 21.61168, 21.60804, 21.62299, 1.34355, 0.10694, 897/900
Mon Jan 26 08:30:00 2015, 1422282600, 328, 298, 194, 21.61944, 21.61593, 21.63088, 1.67036, 0.12334, 896/900
