
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sat Feb  7 00:00:00 2015, 1423288800, 140, 127, 95, 21.60821, 21.61888, 21.61303, -6.66862, 0.09600, 297/900
Sat Feb  7 00:15:00 2015, 1423289700, 416, 381, 270, 21.61277, 21.60764, 21.63595, -6.25781, 0.09610, 897/900
Sat Feb  7 00:30:00 2015, 1423290600, 438, 383, 269, 21.60847, 21.60371, 21.62844, -6.33656, 0.09630, 896/900
Sat Feb  7 00:45:00 2015, 1423291500, 427, 399, 257, 21.60517, 21.60261, 21.62728, -6.04499, 0.09696, 897/900
Sat Feb  7 01:00:00 2015, 1423292400, 428, 389, 267, 21.60747, 21.60299, 21.62166, -5.83944, 0.09698, 896/900
Sat Feb  7 01:15:00 2015, 1423293300, 417, 389, 254, 21.60422, 21.60243, 21.62962, -6.01438, 0.09645, 897/900
Sat Feb  7 01:30:00 2015, 1423294200, 430, 383, 254, 21.60138, 21.60979, 21.63107, -6.70887, 0.09611, 896/900
Sat Feb  7 01:45:00 2015, 1423295100, 425, 397, 257, 21.60957, 21.59327, 21.62191, -6.69174, 0.09607, 897/900
Sat Feb  7 02:00:00 2015, 1423296000, 422, 385, 260, 21.60613, 21.59899, 21.62452, -7.33342, 0.09600, 896/900
Sat Feb  7 02:15:00 2015, 1423296900, 445, 399, 271, 21.60928, 21.59593, 21.62401, -7.57545, 0.09602, 897/900
Sat Feb  7 02:30:00 2015, 1423297800, 445, 395, 254, 21.60353, 21.59952, 21.61828, -7.21384, 0.09675, 896/900
Sat Feb  7 02:45:00 2015, 1423298700, 442, 402, 284, 21.59735, 21.60201, 21.61597, -7.49714, 0.09675, 897/900
Sat Feb  7 03:00:00 2015, 1423299600, 445, 397, 269, 21.59277, 21.59715, 21.61382, -7.53003, 0.09672, 896/900
Sat Feb  7 03:15:00 2015, 1423300500, 438, 404, 268, 21.59780, 21.59253, 21.60980, -7.60626, 0.09677, 897/900
Sat Feb  7 03:30:00 2015, 1423301400, 447, 398, 265, 21.59648, 21.59594, 21.61417, -7.77842, 0.09680, 896/900
Sat Feb  7 03:45:00 2015, 1423302300, 446, 411, 266, 21.60205, 21.59198, 21.61910, -7.31383, 0.09693, 897/900
Sat Feb  7 04:00:00 2015, 1423303200, 440, 410, 263, 21.60059, 21.59779, 21.61343, -7.26096, 0.09694, 896/900
Sat Feb  7 04:15:00 2015, 1423304100, 432, 397, 265, 21.59583, 21.60441, 21.61831, -7.44997, 0.09692, 895/900
Sat Feb  7 04:30:00 2015, 1423305000, 445, 401, 263, 21.59783, 21.58924, 21.60535, -7.66160, 0.09677, 896/900
Sat Feb  7 04:45:00 2015, 1423305900, 439, 418, 269, 21.59672, 21.59943, 21.61176, -7.79836, 0.09700, 897/900
Sat Feb  7 05:00:00 2015, 1423306800, 444, 402, 276, 21.59216, 21.58971, 21.60956, -7.46450, 0.09700, 896/900
Sat Feb  7 05:15:00 2015, 1423307700, 454, 411, 270, 21.59221, 21.59127, 21.60908, -7.43226, 0.09700, 896/900
Sat Feb  7 05:30:00 2015, 1423308600, 443, 424, 274, 21.59352, 21.59101, 21.60451, -7.21828, 0.09700, 897/900
Sat Feb  7 05:45:00 2015, 1423309500, 446, 408, 275, 21.59684, 21.59499, 21.61995, -7.48649, 0.09697, 896/900
Sat Feb  7 06:00:00 2015, 1423310400, 442, 417, 254, 21.59985, 21.59694, 21.61556, -7.59337, 0.09691, 897/900
Sat Feb  7 06:15:00 2015, 1423311300, 426, 401, 267, 21.59874, 21.59716, 21.62322, -7.03933, 0.09700, 896/900
Sat Feb  7 06:30:00 2015, 1423312200, 438, 395, 257, 21.60343, 21.59751, 21.61948, -6.01597, 0.09700, 897/900
Sat Feb  7 06:45:00 2015, 1423313100, 428, 397, 257, 21.60005, 21.59436, 21.61334, -5.45613, 0.09698, 896/900
Sat Feb  7 07:00:00 2015, 1423314000, 429, 398, 265, 21.60383, 21.60038, 21.62093, -5.62933, 0.09647, 897/900
Sat Feb  7 07:15:00 2015, 1423314900, 431, 393, 251, 21.59626, 21.59541, 21.61656, -5.55088, 0.09697, 896/900
Sat Feb  7 07:30:00 2015, 1423315800, 426, 396, 251, 21.60677, 21.60390, 21.62397, -5.43057, 0.10054, 897/900
Sat Feb  7 07:45:00 2015, 1423316700, 427, 380, 248, 21.60271, 21.59789, 21.62821, -5.29111, 0.11127, 896/900
Sat Feb  7 08:00:00 2015, 1423317600, 426, 368, 254, 21.60474, 21.60823, 21.62378, -5.14921, 0.13537, 897/900
Sat Feb  7 08:15:00 2015, 1423318500, 422, 346, 244, 21.61005, 21.60944, 21.63643, -4.54008, 0.16265, 896/900
Sat Feb  7 08:30:00 2015, 1423319400, 387, 340, 242, 21.62026, 21.61928, 21.63837, -3.75046, 0.17879, 897/900
Sat Feb  7 08:45:00 2015, 1423320300, 382, 332, 230, 21.62734, 21.63716, 21.64753, -3.34480, 0.18759, 896/900
Sat Feb  7 09:00:00 2015, 1423321200, 387, 315, 224, 21.63390, 21.63283, 21.66580, -2.56044, 0.19747, 897/900
Sat Feb  7 09:15:00 2015, 1423322100, 351, 207, 222, 21.65388, 21.67534, 21.66158, -1.15572, 0.33286, 896/900
Sat Feb  7 09:30:00 2015, 1423323000, 302, 113, 190, 21.71389, 21.77616, 21.72302, 0.55191, 0.41530, 897/900
Sat Feb  7 09:45:00 2015, 1423323900, 311, 225, 184, 21.72956, 21.73713, 21.75260, -0.25439, 0.27555, 897/900
Sat Feb  7 10:00:00 2015, 1423324800, 313, 175, 189, 21.71627, 21.74691, 21.74223, -0.42586, 0.35762, 896/900
Sat Feb  7 10:15:00 2015, 1423325700, 335, 238, 194, 21.71511, 21.73075, 21.73290, -0.84093, 0.30777, 897/900
Sat Feb  7 10:30:00 2015, 1423326600, 339, 227, 191, 21.69623, 21.71751, 21.71580, 0.36014, 0.31483, 896/900
Sat Feb  7 10:45:00 2015, 1423327500, 312, 185, 182, 21.71933, 21.73873, 21.73626, 1.57255, 0.36643, 897/900
Sat Feb  7 11:00:00 2015, 1423328400, 293, 150, 167, 21.73861, 21.76725, 21.75600, 2.30164, 0.39824, 896/900
Sat Feb  7 11:15:00 2015, 1423329300, 289, 139, 173, 21.74601, 21.77933, 21.76620, 2.74200, 0.40244, 897/900
Sat Feb  7 11:30:00 2015, 1423330200, 275, 100, 166, 21.77069, 21.84184, 21.79422, 2.88840, 0.40965, 896/900
Sat Feb  7 11:45:00 2015, 1423331100, 262, 21, 159, 21.81798, 22.52763, 21.84294, 3.38595, 0.47075, 897/900
Sat Feb  7 12:00:00 2015, 1423332000, 266, 0, 153, 21.82653, 24.28692, 21.86051, 3.05088, 0.47045, 896/900
Sat Feb  7 12:15:00 2015, 1423332900, 260, 14, 166, 21.82355, 26.64406, 21.85399, 3.70343, 0.51211, 897/900
Sat Feb  7 12:30:00 2015, 1423333800, 239, 0, 149, 21.84418, 32.19119, 21.86256, 3.84016, 0.60298, 896/900
Sat Feb  7 12:45:00 2015, 1423334700, 218, 0, 134, 21.90916, 40.29236, 21.93804, 5.42179, 0.69554, 897/900
Sat Feb  7 13:00:00 2015, 1423335600, 185, 0, 109, 21.98223, 40.36289, 22.01678, 6.14582, 0.60465, 896/900
Sat Feb  7 13:15:00 2015, 1423336500, 204, 0, 123, 21.95041, 33.58267, 21.97567, 4.90454, 0.49031, 897/900
Sat Feb  7 13:30:00 2015, 1423337400, 242, 0, 137, 21.89671, 28.05854, 21.91354, 4.01794, 0.37071, 896/900
Sat Feb  7 13:45:00 2015, 1423338300, 251, 0, 145, 21.87058, 26.69586, 21.89797, 4.30047, 0.40576, 897/900
Sat Feb  7 14:00:00 2015, 1423339200, 221, 0, 136, 21.89161, 28.27560, 21.92066, 5.03965, 0.51403, 896/900
Sat Feb  7 14:15:00 2015, 1423340100, 190, 0, 110, 21.99005, 30.71138, 22.00732, 7.05177, 0.62264, 897/900
Sat Feb  7 14:30:00 2015, 1423341000, 181, 0, 98, 22.01194, 31.84616, 22.04125, 7.05622, 0.53908, 896/900
Sat Feb  7 14:45:00 2015, 1423341900, 206, 0, 114, 21.97490, 26.86940, 21.99045, 6.18463, 0.39606, 896/900
