
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Thu Feb 26 00:00:00 2015, 1424930400, 198, 184, 120, 21.60779, 21.61683, 21.62076, -16.76124, 0.10108, 298/900
Thu Feb 26 00:15:00 2015, 1424931300, 604, 543, 357, 21.61729, 21.61115, 21.64739, -16.56443, 0.10116, 896/900
Thu Feb 26 00:30:00 2015, 1424932200, 604, 541, 365, 21.62450, 21.61952, 21.64168, -16.67133, 0.10130, 896/900
Thu Feb 26 00:45:00 2015, 1424933100, 578, 529, 340, 21.61699, 21.61550, 21.64973, -16.80133, 0.10126, 866/900
