
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Thu Feb 12 00:00:00 2015, 1423720800, 207, 192, 112, 21.58590, 21.59058, 21.63307, -15.49595, 0.10200, 298/900
Thu Feb 12 00:15:00 2015, 1423721700, 608, 581, 359, 21.59340, 21.57792, 21.62747, -15.59821, 0.10199, 896/900
Thu Feb 12 00:30:00 2015, 1423722600, 613, 581, 353, 21.58498, 21.58032, 21.62614, -15.73809, 0.10200, 897/900
Thu Feb 12 00:45:00 2015, 1423723500, 614, 591, 362, 21.58338, 21.57887, 21.61701, -15.76525, 0.10200, 896/900
Thu Feb 12 01:00:00 2015, 1423724400, 605, 590, 340, 21.59721, 21.58933, 21.60999, -15.90078, 0.10200, 897/900
Thu Feb 12 01:15:00 2015, 1423725300, 612, 586, 345, 21.59869, 21.58579, 21.63347, -16.10213, 0.10200, 896/900
Thu Feb 12 01:30:00 2015, 1423726200, 613, 591, 361, 21.59727, 21.58663, 21.61185, -16.30465, 0.10200, 897/900
Thu Feb 12 01:45:00 2015, 1423727100, 621, 580, 354, 21.59783, 21.59216, 21.62154, -16.34680, 0.10207, 896/900
Thu Feb 12 02:00:00 2015, 1423728000, 614, 589, 358, 21.60165, 21.58639, 21.62661, -16.49723, 0.10200, 897/900
Thu Feb 12 02:15:00 2015, 1423728900, 619, 591, 357, 21.60738, 21.58335, 21.61799, -16.54830, 0.10201, 896/900
Thu Feb 12 02:30:00 2015, 1423729800, 618, 594, 364, 21.60319, 21.59878, 21.63644, -16.72925, 0.10201, 897/900
Thu Feb 12 02:45:00 2015, 1423730700, 607, 581, 366, 21.61437, 21.60023, 21.63479, -16.94881, 0.10208, 896/900
Thu Feb 12 03:00:00 2015, 1423731600, 618, 588, 349, 21.60517, 21.59700, 21.63069, -16.97948, 0.10204, 897/900
Thu Feb 12 03:15:00 2015, 1423732500, 625, 590, 362, 21.60974, 21.59108, 21.63559, -17.08325, 0.10209, 896/900
Thu Feb 12 03:30:00 2015, 1423733400, 626, 582, 359, 21.61082, 21.59249, 21.63238, -17.12807, 0.10216, 897/900
Thu Feb 12 03:45:00 2015, 1423734300, 622, 593, 373, 21.61301, 21.60139, 21.63103, -17.25992, 0.10229, 897/900
Thu Feb 12 04:00:00 2015, 1423735200, 620, 577, 364, 21.60861, 21.59874, 21.64061, -17.65983, 0.10205, 895/900
Thu Feb 12 04:15:00 2015, 1423736100, 614, 580, 371, 21.60981, 21.61074, 21.63313, -17.92364, 0.10219, 897/900
Thu Feb 12 04:30:00 2015, 1423737000, 625, 591, 364, 21.60751, 21.59212, 21.63941, -17.95482, 0.10276, 896/900
Thu Feb 12 04:45:00 2015, 1423737900, 626, 581, 371, 21.60773, 21.60220, 21.63309, -17.95956, 0.10286, 897/900
Thu Feb 12 05:00:00 2015, 1423738800, 632, 596, 379, 21.61114, 21.60842, 21.62943, -18.02489, 0.10292, 897/900
Thu Feb 12 05:15:00 2015, 1423739700, 623, 595, 364, 21.60189, 21.59775, 21.63367, -18.17028, 0.10296, 896/900
Thu Feb 12 05:30:00 2015, 1423740600, 636, 609, 388, 21.60407, 21.59507, 21.63066, -18.19368, 0.10298, 897/900
Thu Feb 12 05:45:00 2015, 1423741500, 640, 594, 371, 21.60781, 21.59398, 21.62580, -18.40970, 0.10282, 896/900
Thu Feb 12 06:00:00 2015, 1423742400, 633, 596, 373, 21.60374, 21.60460, 21.64410, -18.57153, 0.10285, 897/900
Thu Feb 12 06:15:00 2015, 1423743300, 644, 600, 367, 21.60002, 21.59795, 21.64030, -18.73282, 0.10277, 896/900
Thu Feb 12 06:30:00 2015, 1423744200, 642, 602, 375, 21.60876, 21.59960, 21.63598, -18.80690, 0.10287, 897/900
Thu Feb 12 06:45:00 2015, 1423745100, 632, 604, 369, 21.61354, 21.60408, 21.64195, -18.87596, 0.10282, 896/900
