
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sun Feb 22 00:00:00 2015, 1424584800, 198, 198, 121, 21.62895, 21.60097, 21.65335, -16.37464, 0.10177, 298/900
Sun Feb 22 00:15:00 2015, 1424585700, 609, 586, 356, 21.62105, 21.60792, 21.64780, -16.51792, 0.10189, 896/900
Sun Feb 22 00:30:00 2015, 1424586600, 618, 586, 361, 21.62217, 21.61285, 21.64138, -16.72024, 0.10200, 897/900
Sun Feb 22 00:45:00 2015, 1424587500, 618, 593, 371, 21.62889, 21.61848, 21.65035, -17.08873, 0.10200, 896/900
Sun Feb 22 01:00:00 2015, 1424588400, 623, 605, 369, 21.62217, 21.62275, 21.64667, -17.20139, 0.10201, 896/900
Sun Feb 22 01:15:00 2015, 1424589300, 619, 598, 372, 21.63381, 21.60790, 21.65345, -17.47046, 0.10202, 897/900
Sun Feb 22 01:30:00 2015, 1424590200, 632, 607, 360, 21.63074, 21.61004, 21.64883, -17.66267, 0.10217, 896/900
Sun Feb 22 01:45:00 2015, 1424591100, 628, 598, 382, 21.61572, 21.61188, 21.65051, -18.00602, 0.10222, 897/900
Sun Feb 22 02:00:00 2015, 1424592000, 635, 603, 370, 21.62816, 21.61975, 21.64851, -18.12732, 0.10273, 896/900
Sun Feb 22 02:15:00 2015, 1424592900, 634, 603, 371, 21.62504, 21.62065, 21.65549, -18.41313, 0.10272, 897/900
Sun Feb 22 02:30:00 2015, 1424593800, 642, 597, 376, 21.63547, 21.61602, 21.65183, -18.49749, 0.10298, 896/900
Sun Feb 22 02:45:00 2015, 1424594700, 634, 614, 382, 21.63420, 21.61937, 21.65331, -18.69264, 0.10290, 897/900
Sun Feb 22 03:00:00 2015, 1424595600, 637, 608, 375, 21.63103, 21.61730, 21.66250, -18.83058, 0.10299, 896/900
Sun Feb 22 03:15:00 2015, 1424596500, 640, 621, 385, 21.63067, 21.62683, 21.66111, -19.00187, 0.10300, 897/900
Sun Feb 22 03:30:00 2015, 1424597400, 655, 616, 385, 21.63206, 21.61613, 21.65495, -19.07746, 0.10300, 896/900
Sun Feb 22 03:45:00 2015, 1424598300, 654, 616, 386, 21.63592, 21.61441, 21.65857, -19.23491, 0.10300, 897/900
Sun Feb 22 04:00:00 2015, 1424599200, 643, 617, 372, 21.63257, 21.62187, 21.66517, -19.49037, 0.10300, 896/900
Sun Feb 22 04:15:00 2015, 1424600100, 653, 624, 381, 21.63036, 21.62878, 21.66014, -19.54721, 0.10314, 897/900
Sun Feb 22 04:30:00 2015, 1424601000, 664, 616, 390, 21.62637, 21.62231, 21.67817, -19.68677, 0.10302, 896/900
Sun Feb 22 04:45:00 2015, 1424601900, 655, 622, 381, 21.62786, 21.61807, 21.65744, -19.93166, 0.10301, 897/900
Sun Feb 22 05:00:00 2015, 1424602800, 651, 628, 372, 21.63260, 21.62197, 21.67069, -20.11492, 0.10302, 896/900
Sun Feb 22 05:15:00 2015, 1424603700, 658, 630, 384, 21.64019, 21.62011, 21.66474, -20.16887, 0.10329, 897/900
Sun Feb 22 05:30:00 2015, 1424604600, 666, 627, 387, 21.63349, 21.62208, 21.65585, -20.17759, 0.10336, 896/900
Sun Feb 22 05:45:00 2015, 1424605500, 657, 632, 386, 21.64226, 21.62753, 21.65912, -20.22966, 0.10357, 897/900
Sun Feb 22 06:00:00 2015, 1424606400, 662, 640, 393, 21.63832, 21.62562, 21.66673, -20.29055, 0.10385, 896/900
Sun Feb 22 06:15:00 2015, 1424607300, 665, 627, 400, 21.63212, 21.62467, 21.67131, -20.46909, 0.10396, 897/900
Sun Feb 22 06:30:00 2015, 1424608200, 674, 630, 398, 21.63833, 21.62405, 21.67178, -20.63904, 0.10399, 896/900
Sun Feb 22 06:45:00 2015, 1424609100, 680, 651, 391, 21.63152, 21.62885, 21.65799, -20.62143, 0.10400, 897/900
Sun Feb 22 07:00:00 2015, 1424610000, 677, 640, 395, 21.64205, 21.62500, 21.66502, -20.82420, 0.10552, 896/900
Sun Feb 22 07:15:00 2015, 1424610900, 680, 647, 399, 21.63273, 21.62284, 21.66836, -20.82001, 0.11225, 896/900
Sun Feb 22 07:30:00 2015, 1424611800, 679, 630, 406, 21.64330, 21.62501, 21.67113, -20.72694, 0.12333, 897/900
Sun Feb 22 07:45:00 2015, 1424612700, 677, 623, 393, 21.64236, 21.63125, 21.66620, -20.69097, 0.13367, 896/900
Sun Feb 22 08:00:00 2015, 1424613600, 667, 624, 394, 21.64182, 21.63975, 21.67923, -20.46786, 0.14335, 897/900
Sun Feb 22 08:15:00 2015, 1424614500, 662, 613, 388, 21.63868, 21.63268, 21.67624, -20.17351, 0.15259, 896/900
Sun Feb 22 08:30:00 2015, 1424615400, 669, 617, 392, 21.63901, 21.62887, 21.66883, -19.97751, 0.16492, 897/900
Sun Feb 22 08:45:00 2015, 1424616300, 654, 590, 399, 21.63339, 21.63839, 21.67591, -19.66386, 0.19190, 896/900
Sun Feb 22 09:00:00 2015, 1424617200, 642, 362, 369, 21.63983, 21.68140, 21.67098, -18.89301, 0.46691, 897/900
Sun Feb 22 09:15:00 2015, 1424618100, 574, 315, 345, 21.64885, 21.69972, 21.67132, -18.63955, 0.48272, 896/900
Sun Feb 22 09:30:00 2015, 1424619000, 554, 230, 342, 21.65592, 21.72775, 21.67161, -18.42948, 0.56555, 897/900
Sun Feb 22 09:45:00 2015, 1424619900, 550, 178, 337, 21.65601, 21.72540, 21.67577, -18.12518, 0.60357, 896/900
Sun Feb 22 10:00:00 2015, 1424620800, 532, 157, 321, 21.65382, 21.73621, 21.67685, -17.90977, 0.63836, 897/900
Sun Feb 22 10:15:00 2015, 1424621700, 534, 143, 324, 21.64892, 21.73881, 21.67566, -18.03126, 0.66243, 896/900
Sun Feb 22 10:30:00 2015, 1424622600, 518, 60, 319, 21.65545, 21.77352, 21.67227, -17.36107, 0.72340, 897/900
Sun Feb 22 10:45:00 2015, 1424623500, 519, 100, 310, 21.66188, 21.74882, 21.68848, -17.18787, 0.68870, 896/900
Sun Feb 22 11:00:00 2015, 1424624400, 513, 35, 302, 21.65737, 21.88705, 21.67103, -17.03000, 0.74138, 897/900
Sun Feb 22 11:15:00 2015, 1424625300, 507, 0, 302, 21.66023, 23.25971, 21.68191, -16.91711, 0.78687, 896/900
Sun Feb 22 11:30:00 2015, 1424626200, 504, 0, 303, 21.66047, 29.08888, 21.67827, -16.92279, 0.80297, 896/900
Sun Feb 22 11:45:00 2015, 1424627100, 517, 0, 295, 21.66124, 35.25775, 21.68300, -16.60484, 0.81534, 897/900
Sun Feb 22 12:00:00 2015, 1424628000, 486, 0, 303, 21.66827, 37.17096, 21.70589, -15.72014, 0.81553, 896/900
Sun Feb 22 12:15:00 2015, 1424628900, 481, 0, 302, 21.66722, 37.13654, 21.69006, -15.64642, 0.79501, 897/900
Sun Feb 22 12:30:00 2015, 1424629800, 470, 0, 282, 21.67050, 38.96401, 21.69432, -15.02230, 0.81471, 896/900
Sun Feb 22 12:45:00 2015, 1424630700, 513, 0, 288, 21.66970, 38.63793, 21.70187, -15.74862, 0.82463, 897/900
Sun Feb 22 13:00:00 2015, 1424631600, 478, 0, 285, 21.66777, 38.11820, 21.67279, -15.05868, 0.81062, 894/900
Sun Feb 22 13:15:00 2015, 1424632500, 490, 0, 294, 21.66055, 35.22224, 21.68592, -15.41252, 0.77456, 895/900
Sun Feb 22 13:30:00 2015, 1424633400, 492, 0, 302, 21.66944, 34.01948, 21.69018, -15.26850, 0.77742, 896/900
Sun Feb 22 13:45:00 2015, 1424634300, 496, 0, 293, 21.66083, 30.66457, 21.68529, -15.01893, 0.75749, 897/900
Sun Feb 22 14:00:00 2015, 1424635200, 473, 0, 294, 21.66257, 27.13047, 21.69720, -14.77433, 0.73222, 896/900
Sun Feb 22 14:15:00 2015, 1424636100, 485, 0, 284, 21.66942, 25.12315, 21.69637, -14.66133, 0.70210, 897/900
Sun Feb 22 14:30:00 2015, 1424637000, 473, 0, 275, 21.66853, 23.46669, 21.68472, -14.66422, 0.67003, 896/900
Sun Feb 22 14:45:00 2015, 1424637900, 476, 24, 275, 21.66792, 21.93725, 21.69961, -14.45329, 0.63530, 897/900
Sun Feb 22 15:00:00 2015, 1424638800, 495, 96, 286, 21.67334, 21.75619, 21.69215, -14.77104, 0.59587, 896/900
Sun Feb 22 15:15:00 2015, 1424639700, 500, 165, 286, 21.66579, 21.73343, 21.68756, -14.88155, 0.55532, 897/900
Sun Feb 22 15:30:00 2015, 1424640600, 513, 231, 300, 21.65522, 21.71095, 21.68790, -15.20368, 0.51086, 896/900
Sun Feb 22 15:45:00 2015, 1424641500, 524, 409, 311, 21.65510, 21.66420, 21.66861, -16.15133, 0.24988, 897/900
Sun Feb 22 16:00:00 2015, 1424642400, 583, 544, 342, 21.63935, 21.62505, 21.65885, -16.35442, 0.16791, 896/900
Sun Feb 22 16:15:00 2015, 1424643300, 597, 556, 362, 21.63958, 21.62750, 21.66099, -16.38076, 0.16279, 897/900
Sun Feb 22 16:30:00 2015, 1424644200, 612, 564, 352, 21.63460, 21.63395, 21.66079, -16.45280, 0.15716, 894/900
Sun Feb 22 16:45:00 2015, 1424645100, 606, 570, 361, 21.63315, 21.63400, 21.66257, -16.66545, 0.15045, 897/900
Sun Feb 22 17:00:00 2015, 1424646000, 618, 580, 365, 21.63661, 21.63698, 21.66710, -16.83516, 0.14339, 896/900
Sun Feb 22 17:15:00 2015, 1424646900, 626, 581, 376, 21.63149, 21.62654, 21.65464, -17.05245, 0.13543, 897/900
Sun Feb 22 17:30:00 2015, 1424647800, 616, 593, 358, 21.63535, 21.62671, 21.66859, -17.27755, 0.12576, 896/900
Sun Feb 22 17:45:00 2015, 1424648700, 627, 587, 373, 21.63722, 21.63091, 21.66927, -17.57185, 0.11538, 897/900
Sun Feb 22 18:00:00 2015, 1424649600, 629, 613, 367, 21.63980, 21.62759, 21.66599, -17.85205, 0.10710, 896/900
Sun Feb 22 18:15:00 2015, 1424650500, 633, 607, 379, 21.64083, 21.63080, 21.66864, -18.23099, 0.10334, 895/900
Sun Feb 22 18:30:00 2015, 1424651400, 644, 604, 374, 21.63948, 21.62852, 21.65503, -18.43876, 0.10299, 896/900
Sun Feb 22 18:45:00 2015, 1424652300, 653, 622, 386, 21.64219, 21.63260, 21.67946, -18.52372, 0.10300, 897/900
Sun Feb 22 19:00:00 2015, 1424653200, 646, 613, 391, 21.63818, 21.63484, 21.67327, -18.75823, 0.10300, 896/900
Sun Feb 22 19:15:00 2015, 1424654100, 633, 616, 378, 21.65167, 21.63421, 21.68196, -18.94130, 0.10300, 897/900
Sun Feb 22 19:30:00 2015, 1424655000, 642, 601, 380, 21.64380, 21.63276, 21.66984, -19.03164, 0.10301, 896/900
Sun Feb 22 19:45:00 2015, 1424655900, 636, 608, 372, 21.64274, 21.64275, 21.66045, -19.25249, 0.10300, 896/900
Sun Feb 22 20:00:00 2015, 1424656800, 647, 603, 391, 21.65443, 21.64534, 21.67732, -19.38760, 0.10301, 897/900
Sun Feb 22 20:15:00 2015, 1424657700, 651, 609, 390, 21.64603, 21.63231, 21.66819, -19.48828, 0.10306, 896/900
Sun Feb 22 20:30:00 2015, 1424658600, 648, 624, 380, 21.66431, 21.63762, 21.66493, -19.55250, 0.10334, 897/900
Sun Feb 22 20:45:00 2015, 1424659500, 642, 618, 371, 21.64712, 21.64576, 21.66419, -19.65248, 0.10331, 896/900
Sun Feb 22 21:00:00 2015, 1424660400, 659, 624, 381, 21.64780, 21.63646, 21.67651, -19.73979, 0.10371, 897/900
Sun Feb 22 21:15:00 2015, 1424661300, 653, 620, 396, 21.65141, 21.64721, 21.67233, -19.89937, 0.10345, 896/900
Sun Feb 22 21:30:00 2015, 1424662200, 652, 613, 384, 21.64702, 21.63395, 21.66918, -20.08261, 0.10366, 897/900
Sun Feb 22 21:45:00 2015, 1424663100, 659, 614, 381, 21.64757, 21.64121, 21.66568, -20.32275, 0.10364, 896/900
Sun Feb 22 22:00:00 2015, 1424664000, 661, 628, 384, 21.64493, 21.63965, 21.67245, -20.47655, 0.10382, 897/900
Sun Feb 22 22:15:00 2015, 1424664900, 664, 622, 398, 21.65415, 21.63946, 21.67177, -20.61923, 0.10397, 896/900
Sun Feb 22 22:30:00 2015, 1424665800, 653, 626, 401, 21.64087, 21.63569, 21.67218, -20.76836, 0.10392, 896/900
Sun Feb 22 22:45:00 2015, 1424666700, 666, 632, 390, 21.64523, 21.63451, 21.68870, -20.93913, 0.10400, 897/900
Sun Feb 22 23:00:00 2015, 1424667600, 665, 633, 408, 21.64696, 21.63591, 21.69442, -21.01203, 0.10400, 896/900
Sun Feb 22 23:15:00 2015, 1424668500, 663, 638, 393, 21.64246, 21.63259, 21.67828, -21.08849, 0.10400, 897/900
Sun Feb 22 23:30:00 2015, 1424669400, 677, 636, 409, 21.64080, 21.63728, 21.68036, -21.18024, 0.10400, 896/900
Sun Feb 22 23:45:00 2015, 1424670300, 671, 641, 403, 21.64476, 21.63132, 21.67724, -21.42865, 0.10400, 895/900
Mon Feb 23 00:00:00 2015, 1424671200, 673, 622, 407, 21.64789, 21.63910, 21.67104, -21.58746, 0.10400, 896/900
Mon Feb 23 00:15:00 2015, 1424672100, 483, 456, 290, 21.64749, 21.63577, 21.68769, -21.68740, 0.10400, 645/900
