
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Fri Feb 20 00:00:00 2015, 1424412000, 182, 168, 105, 21.62835, 21.62741, 21.63344, -12.50109, 0.10000, 298/900
Fri Feb 20 00:15:00 2015, 1424412900, 542, 526, 316, 21.63349, 21.61809, 21.65772, -12.45610, 0.10000, 897/900
Fri Feb 20 00:30:00 2015, 1424413800, 549, 506, 331, 21.63349, 21.62192, 21.64309, -12.35323, 0.10000, 896/900
Fri Feb 20 00:45:00 2015, 1424414700, 530, 510, 311, 21.62655, 21.62901, 21.64246, -12.05778, 0.10000, 897/900
Fri Feb 20 01:00:00 2015, 1424415600, 524, 511, 303, 21.62517, 21.63050, 21.65790, -11.76994, 0.10000, 896/900
Fri Feb 20 01:15:00 2015, 1424416500, 527, 505, 319, 21.63571, 21.63203, 21.65458, -11.76499, 0.10000, 897/900
Fri Feb 20 01:30:00 2015, 1424417400, 527, 518, 322, 21.63148, 21.61187, 21.64148, -11.80546, 0.10000, 894/900
Fri Feb 20 01:45:00 2015, 1424418300, 543, 506, 306, 21.61896, 21.61548, 21.65517, -11.85240, 0.10000, 896/900
Fri Feb 20 02:00:00 2015, 1424419200, 521, 507, 297, 21.63105, 21.61801, 21.64690, -11.79112, 0.10000, 897/900
Fri Feb 20 02:15:00 2015, 1424420100, 523, 505, 311, 21.63154, 21.62778, 21.64803, -11.75215, 0.10000, 896/900
Fri Feb 20 02:30:00 2015, 1424421000, 529, 495, 319, 21.63568, 21.62006, 21.65003, -11.65347, 0.10000, 896/900
Fri Feb 20 02:45:00 2015, 1424421900, 532, 495, 300, 21.63814, 21.62937, 21.66927, -11.62803, 0.10000, 896/900
Fri Feb 20 03:00:00 2015, 1424422800, 535, 502, 310, 21.63766, 21.62957, 21.66770, -11.65456, 0.10000, 897/900
Fri Feb 20 03:15:00 2015, 1424423700, 518, 486, 310, 21.63718, 21.63194, 21.65140, -11.63216, 0.10000, 896/900
Fri Feb 20 03:30:00 2015, 1424424600, 518, 484, 306, 21.63700, 21.63229, 21.66749, -11.61010, 0.09992, 897/900
Fri Feb 20 03:45:00 2015, 1424425500, 526, 490, 311, 21.62889, 21.63257, 21.65303, -11.44434, 0.09994, 896/900
Fri Feb 20 04:00:00 2015, 1424426400, 528, 486, 310, 21.62855, 21.63191, 21.66053, -11.25279, 0.09976, 896/900
Fri Feb 20 04:15:00 2015, 1424427300, 516, 476, 307, 21.64056, 21.63483, 21.66229, -11.28606, 0.09945, 896/900
Fri Feb 20 04:30:00 2015, 1424428200, 528, 478, 305, 21.63270, 21.63682, 21.65186, -11.26591, 0.09914, 896/900
Fri Feb 20 04:45:00 2015, 1424429100, 527, 472, 300, 21.63315, 21.64222, 21.64796, -11.18329, 0.09925, 897/900
Fri Feb 20 05:00:00 2015, 1424430000, 515, 464, 302, 21.63387, 21.63240, 21.66130, -11.08578, 0.09935, 896/900
Fri Feb 20 05:15:00 2015, 1424430900, 518, 468, 304, 21.63018, 21.62618, 21.66795, -11.05018, 0.09943, 897/900
Fri Feb 20 05:30:00 2015, 1424431800, 514, 466, 306, 21.62815, 21.63537, 21.64845, -10.99879, 0.09924, 896/900
Fri Feb 20 05:45:00 2015, 1424432700, 518, 457, 312, 21.63033, 21.62988, 21.65444, -10.99309, 0.09910, 897/900
Fri Feb 20 06:00:00 2015, 1424433600, 523, 462, 308, 21.62916, 21.62304, 21.64778, -11.00783, 0.09946, 896/900
Fri Feb 20 06:15:00 2015, 1424434500, 522, 469, 314, 21.62393, 21.62807, 21.65969, -10.97902, 0.09937, 897/900
Fri Feb 20 06:30:00 2015, 1424435400, 518, 468, 310, 21.62512, 21.63184, 21.66017, -10.90056, 0.09903, 896/900
Fri Feb 20 06:45:00 2015, 1424436300, 527, 462, 310, 21.62663, 21.62784, 21.65063, -10.70562, 0.09905, 897/900
Fri Feb 20 07:00:00 2015, 1424437200, 531, 462, 308, 21.63207, 21.62821, 21.63964, -10.56781, 0.09996, 896/900
Fri Feb 20 07:15:00 2015, 1424438100, 515, 466, 289, 21.63120, 21.62516, 21.65102, -10.33799, 0.10331, 897/900
Fri Feb 20 07:30:00 2015, 1424439000, 506, 453, 295, 21.62816, 21.63509, 21.67069, -10.03384, 0.11545, 896/900
Fri Feb 20 07:45:00 2015, 1424439900, 488, 447, 298, 21.63565, 21.63130, 21.65949, -9.74322, 0.12546, 897/900
Fri Feb 20 08:00:00 2015, 1424440800, 495, 443, 298, 21.64289, 21.63502, 21.65806, -9.45606, 0.13484, 896/900
Fri Feb 20 08:15:00 2015, 1424441700, 496, 447, 287, 21.63430, 21.62653, 21.65933, -8.91137, 0.15834, 897/900
Fri Feb 20 08:30:00 2015, 1424442600, 482, 432, 290, 21.63697, 21.62934, 21.65798, -8.75337, 0.15654, 895/900
Fri Feb 20 08:45:00 2015, 1424443500, 485, 425, 291, 21.63827, 21.63806, 21.66007, -8.42234, 0.16889, 897/900
