
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Wed Feb 11 00:00:00 2015, 1423634400, 115, 110, 68, 21.63511, 21.62358, 21.65514, 1.23179, 0.09428, 297/900
Wed Feb 11 00:15:00 2015, 1423635300, 340, 315, 213, 21.63339, 21.63347, 21.64942, 1.14582, 0.09477, 897/900
Wed Feb 11 00:30:00 2015, 1423636200, 340, 328, 194, 21.63598, 21.62563, 21.66496, 0.91954, 0.09468, 896/900
Wed Feb 11 00:45:00 2015, 1423637100, 350, 326, 203, 21.62473, 21.62480, 21.64630, 0.51626, 0.09435, 897/900
Wed Feb 11 01:00:00 2015, 1423638000, 364, 337, 205, 21.62400, 21.61682, 21.64410, -0.19632, 0.09460, 894/900
Wed Feb 11 01:15:00 2015, 1423638900, 373, 356, 215, 21.61582, 21.61127, 21.63664, -0.86132, 0.09499, 897/900
Wed Feb 11 01:30:00 2015, 1423639800, 380, 367, 214, 21.60355, 21.61189, 21.63971, -1.54576, 0.09500, 897/900
Wed Feb 11 01:45:00 2015, 1423640700, 389, 367, 206, 21.60501, 21.59871, 21.61907, -1.84712, 0.09542, 896/900
Wed Feb 11 02:00:00 2015, 1423641600, 394, 370, 212, 21.60184, 21.59884, 21.62018, -2.02618, 0.09558, 896/900
Wed Feb 11 02:15:00 2015, 1423642500, 390, 366, 226, 21.59956, 21.59377, 21.62428, -2.39760, 0.09587, 897/900
Wed Feb 11 02:30:00 2015, 1423643400, 396, 376, 229, 21.59893, 21.59028, 21.61940, -2.69672, 0.09600, 896/900
Wed Feb 11 02:45:00 2015, 1423644300, 391, 377, 232, 21.59930, 21.59701, 21.62586, -2.96122, 0.09600, 897/900
Wed Feb 11 03:00:00 2015, 1423645200, 400, 378, 232, 21.59933, 21.59728, 21.62683, -3.19864, 0.09600, 896/900
Wed Feb 11 03:15:00 2015, 1423646100, 407, 370, 239, 21.59473, 21.59290, 21.61051, -3.25314, 0.09603, 896/900
Wed Feb 11 03:30:00 2015, 1423647000, 407, 378, 228, 21.58838, 21.59329, 21.61686, -3.27433, 0.09601, 897/900
Wed Feb 11 03:45:00 2015, 1423647900, 406, 375, 240, 21.59449, 21.58989, 21.62328, -3.28844, 0.09600, 896/900
Wed Feb 11 04:00:00 2015, 1423648800, 406, 388, 234, 21.60057, 21.59423, 21.61774, -3.26198, 0.09600, 897/900
Wed Feb 11 04:15:00 2015, 1423649700, 406, 385, 241, 21.59867, 21.59124, 21.61150, -3.24605, 0.09605, 896/900
