
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Tue Feb 10 00:00:00 2015, 1423548000, 146, 139, 88, 21.56413, 21.56192, 21.58397, -6.22776, 0.09701, 297/900
Tue Feb 10 00:15:00 2015, 1423548900, 450, 406, 269, 21.57247, 21.56028, 21.59053, -6.06401, 0.09700, 897/900
Tue Feb 10 00:30:00 2015, 1423549800, 436, 394, 254, 21.57591, 21.57186, 21.58826, -5.35075, 0.09700, 897/900
Tue Feb 10 00:45:00 2015, 1423550700, 426, 392, 262, 21.57455, 21.57449, 21.59565, -4.87164, 0.09698, 896/900
Tue Feb 10 01:00:00 2015, 1423551600, 413, 377, 258, 21.58384, 21.58327, 21.59789, -4.68917, 0.09680, 897/900
Tue Feb 10 01:15:00 2015, 1423552500, 395, 385, 243, 21.58562, 21.59042, 21.59631, -4.56689, 0.09632, 896/900
Tue Feb 10 01:30:00 2015, 1423553400, 413, 392, 253, 21.59158, 21.58589, 21.60500, -4.44584, 0.09621, 897/900
Tue Feb 10 01:45:00 2015, 1423554300, 404, 388, 241, 21.58118, 21.58693, 21.60070, -4.47149, 0.09656, 893/900
Tue Feb 10 02:00:00 2015, 1423555200, 421, 394, 244, 21.57971, 21.58515, 21.60289, -4.57422, 0.09664, 897/900
Tue Feb 10 02:15:00 2015, 1423556100, 419, 386, 243, 21.58806, 21.58037, 21.59592, -4.54766, 0.09634, 896/900
Tue Feb 10 02:30:00 2015, 1423557000, 410, 389, 234, 21.58572, 21.57577, 21.61181, -4.57789, 0.09638, 897/900
Tue Feb 10 02:45:00 2015, 1423557900, 422, 395, 252, 21.58077, 21.56764, 21.60400, -4.75074, 0.09658, 897/900
Tue Feb 10 03:00:00 2015, 1423558800, 413, 399, 249, 21.57936, 21.57628, 21.59707, -4.83602, 0.09692, 896/900
Tue Feb 10 03:15:00 2015, 1423559700, 426, 387, 236, 21.58492, 21.58446, 21.60290, -4.68721, 0.09682, 897/900
Tue Feb 10 03:30:00 2015, 1423560600, 428, 384, 259, 21.59291, 21.57779, 21.60392, -4.59265, 0.09641, 896/900
Tue Feb 10 03:45:00 2015, 1423561500, 413, 393, 245, 21.58609, 21.58200, 21.61421, -4.72366, 0.09633, 897/900
Tue Feb 10 04:00:00 2015, 1423562400, 422, 395, 253, 21.58011, 21.57663, 21.59991, -5.09404, 0.09645, 896/900
Tue Feb 10 04:15:00 2015, 1423563300, 419, 383, 255, 21.58232, 21.58324, 21.59643, -5.01999, 0.09673, 897/900
Tue Feb 10 04:30:00 2015, 1423564200, 418, 386, 245, 21.57749, 21.57710, 21.60713, -5.05852, 0.09624, 896/900
Tue Feb 10 04:45:00 2015, 1423565100, 435, 396, 259, 21.58154, 21.57952, 21.59310, -5.17644, 0.09611, 897/900
Tue Feb 10 05:00:00 2015, 1423566000, 422, 391, 243, 21.58285, 21.57885, 21.59807, -4.74500, 0.09661, 896/900
Tue Feb 10 05:15:00 2015, 1423566900, 414, 391, 244, 21.58144, 21.57294, 21.59705, -4.53972, 0.09678, 897/900
Tue Feb 10 05:30:00 2015, 1423567800, 431, 407, 251, 21.57382, 21.56656, 21.58721, -4.56708, 0.09672, 896/900
Tue Feb 10 05:45:00 2015, 1423568700, 421, 408, 252, 21.57394, 21.55805, 21.59607, -4.53806, 0.09690, 897/900
Tue Feb 10 06:00:00 2015, 1423569600, 422, 399, 246, 21.57863, 21.56979, 21.59561, -4.36956, 0.09697, 896/900
Tue Feb 10 06:15:00 2015, 1423570500, 414, 388, 253, 21.57926, 21.57743, 21.60291, -4.15222, 0.09696, 897/900
Tue Feb 10 06:30:00 2015, 1423571400, 412, 399, 245, 21.58119, 21.56940, 21.59654, -3.91918, 0.09693, 896/900
Tue Feb 10 06:45:00 2015, 1423572300, 412, 384, 245, 21.57656, 21.58110, 21.59423, -3.70245, 0.09661, 897/900
Tue Feb 10 07:00:00 2015, 1423573200, 399, 385, 239, 21.58650, 21.58615, 21.60752, -3.48554, 0.09607, 896/900
Tue Feb 10 07:15:00 2015, 1423574100, 402, 378, 231, 21.58789, 21.58036, 21.60577, -3.35733, 0.09704, 897/900
Tue Feb 10 07:30:00 2015, 1423575000, 396, 376, 240, 21.58319, 21.58505, 21.59113, -3.25288, 0.09928, 896/900
Tue Feb 10 07:45:00 2015, 1423575900, 400, 370, 234, 21.59453, 21.58181, 21.61624, -3.19947, 0.10335, 895/900
Tue Feb 10 08:00:00 2015, 1423576800, 403, 375, 239, 21.59032, 21.58714, 21.61783, -3.00137, 0.10895, 896/900
Tue Feb 10 08:15:00 2015, 1423577700, 406, 363, 229, 21.59568, 21.59057, 21.61768, -2.65908, 0.12736, 897/900
Tue Feb 10 08:30:00 2015, 1423578600, 395, 343, 222, 21.59909, 21.58974, 21.62121, -2.17730, 0.14121, 896/900
Tue Feb 10 08:45:00 2015, 1423579500, 388, 352, 223, 21.59721, 21.59577, 21.61507, -2.20546, 0.12591, 897/900
Tue Feb 10 09:00:00 2015, 1423580400, 386, 368, 233, 21.59471, 21.59230, 21.62651, -2.16447, 0.12784, 896/900
Tue Feb 10 09:15:00 2015, 1423581300, 371, 353, 230, 21.60482, 21.59096, 21.62680, -1.55744, 0.17730, 897/900
Tue Feb 10 09:30:00 2015, 1423582200, 380, 346, 219, 21.60465, 21.59764, 21.61939, -1.74225, 0.14602, 896/900
Tue Feb 10 09:45:00 2015, 1423583100, 392, 343, 231, 21.59772, 21.60195, 21.62994, -1.61966, 0.15849, 895/900
Tue Feb 10 10:00:00 2015, 1423584000, 380, 349, 232, 21.60744, 21.59930, 21.62379, -1.38014, 0.15672, 896/900
Tue Feb 10 10:15:00 2015, 1423584900, 374, 380, 240, 21.60057, 21.58819, 21.62429, -1.74881, 0.12327, 896/900
Tue Feb 10 10:30:00 2015, 1423585800, 378, 361, 227, 21.60093, 21.59482, 21.62099, -1.77391, 0.13710, 896/900
Tue Feb 10 10:45:00 2015, 1423586700, 387, 365, 229, 21.59453, 21.58524, 21.61246, -1.44191, 0.15189, 895/900
Tue Feb 10 11:00:00 2015, 1423587600, 388, 356, 227, 21.59698, 21.59536, 21.61367, -1.50211, 0.15846, 896/900
Tue Feb 10 11:15:00 2015, 1423588500, 388, 329, 229, 21.60029, 21.60494, 21.61409, -1.28995, 0.16507, 895/900
Tue Feb 10 11:30:00 2015, 1423589400, 374, 311, 224, 21.59909, 21.60997, 21.63091, -0.78379, 0.20045, 896/900
Tue Feb 10 11:45:00 2015, 1423590300, 370, 296, 210, 21.60617, 21.60804, 21.63247, -0.44162, 0.22757, 896/900
Tue Feb 10 12:00:00 2015, 1423591200, 371, 306, 213, 21.61444, 21.60755, 21.63334, -0.14623, 0.24298, 897/900
Tue Feb 10 12:15:00 2015, 1423592100, 357, 301, 206, 21.61296, 21.62610, 21.64488, -0.01591, 0.25607, 896/900
Tue Feb 10 12:30:00 2015, 1423593000, 370, 317, 206, 21.61873, 21.61619, 21.63931, -0.65253, 0.20461, 897/900
Tue Feb 10 12:45:00 2015, 1423593900, 374, 320, 222, 21.61671, 21.61279, 21.63981, -0.91104, 0.19291, 896/900
Tue Feb 10 13:00:00 2015, 1423594800, 374, 357, 216, 21.60728, 21.60748, 21.63389, -1.43154, 0.14298, 897/900
Tue Feb 10 13:15:00 2015, 1423595700, 377, 354, 226, 21.61153, 21.59967, 21.62431, -1.77678, 0.12037, 896/900
Tue Feb 10 13:30:00 2015, 1423596600, 389, 348, 225, 21.60178, 21.60006, 21.61355, -1.60195, 0.14299, 896/900
Tue Feb 10 13:45:00 2015, 1423597500, 391, 358, 234, 21.59949, 21.59911, 21.61796, -1.63289, 0.13741, 897/900
Tue Feb 10 14:00:00 2015, 1423598400, 390, 357, 232, 21.60316, 21.59855, 21.61533, -1.59000, 0.13739, 896/900
Tue Feb 10 14:15:00 2015, 1423599300, 384, 370, 214, 21.59901, 21.59858, 21.62732, -1.51987, 0.15378, 897/900
Tue Feb 10 14:30:00 2015, 1423600200, 373, 365, 227, 21.60470, 21.59765, 21.63046, -1.67848, 0.13444, 896/900
Tue Feb 10 14:45:00 2015, 1423601100, 382, 379, 226, 21.60715, 21.59833, 21.62146, -1.98272, 0.13629, 897/900
Tue Feb 10 15:00:00 2015, 1423602000, 380, 375, 221, 21.60050, 21.59399, 21.62807, -2.02980, 0.16458, 896/900
Tue Feb 10 15:15:00 2015, 1423602900, 373, 360, 213, 21.60855, 21.60750, 21.63757, -1.97467, 0.17132, 897/900
Tue Feb 10 15:30:00 2015, 1423603800, 379, 346, 214, 21.61230, 21.61034, 21.63167, -1.64092, 0.18317, 896/900
Tue Feb 10 15:45:00 2015, 1423604700, 387, 342, 227, 21.61346, 21.60689, 21.62672, -1.99075, 0.14591, 897/900
Tue Feb 10 16:00:00 2015, 1423605600, 384, 364, 232, 21.60409, 21.60557, 21.62593, -2.16771, 0.12492, 896/900
Tue Feb 10 16:15:00 2015, 1423606500, 392, 361, 231, 21.60128, 21.60323, 21.62370, -2.43392, 0.11316, 897/900
Tue Feb 10 16:30:00 2015, 1423607400, 389, 361, 227, 21.59853, 21.59210, 21.60933, -2.64345, 0.10417, 896/900
Tue Feb 10 16:45:00 2015, 1423608300, 390, 369, 232, 21.59255, 21.59632, 21.61815, -2.54335, 0.11132, 894/900
Tue Feb 10 17:00:00 2015, 1423609200, 382, 367, 235, 21.59780, 21.59029, 21.60703, -2.39260, 0.11530, 896/900
Tue Feb 10 17:15:00 2015, 1423610100, 387, 367, 233, 21.59772, 21.59292, 21.61645, -2.47604, 0.10428, 897/900
Tue Feb 10 17:30:00 2015, 1423611000, 382, 364, 230, 21.60167, 21.59404, 21.62408, -2.38286, 0.10193, 896/900
Tue Feb 10 17:45:00 2015, 1423611900, 380, 373, 230, 21.60514, 21.59526, 21.62345, -2.12669, 0.09949, 897/900
Tue Feb 10 18:00:00 2015, 1423612800, 387, 363, 227, 21.60227, 21.60196, 21.62272, -1.90371, 0.09605, 896/900
Tue Feb 10 18:15:00 2015, 1423613700, 383, 357, 225, 21.59687, 21.58810, 21.62057, -1.66307, 0.09599, 897/900
Tue Feb 10 18:30:00 2015, 1423614600, 381, 352, 221, 21.60212, 21.59819, 21.61411, -1.43274, 0.09573, 896/900
Tue Feb 10 18:45:00 2015, 1423615500, 372, 356, 220, 21.60358, 21.59784, 21.62097, -1.03861, 0.09565, 897/900
Tue Feb 10 19:00:00 2015, 1423616400, 372, 356, 205, 21.60954, 21.60498, 21.63232, -0.75898, 0.09516, 896/900
Tue Feb 10 19:15:00 2015, 1423617300, 371, 345, 205, 21.62053, 21.60963, 21.63710, -0.58069, 0.09500, 897/900
Tue Feb 10 19:30:00 2015, 1423618200, 356, 326, 220, 21.62112, 21.62239, 21.64665, -0.38647, 0.09500, 896/900
Tue Feb 10 19:45:00 2015, 1423619100, 357, 321, 210, 21.62533, 21.62562, 21.64863, -0.08107, 0.09500, 897/900
Tue Feb 10 20:00:00 2015, 1423620000, 339, 332, 199, 21.62920, 21.62630, 21.64829, 0.45452, 0.09500, 896/900
Tue Feb 10 20:15:00 2015, 1423620900, 343, 325, 204, 21.63763, 21.63840, 21.66168, 0.94179, 0.09494, 896/900
Tue Feb 10 20:30:00 2015, 1423621800, 333, 318, 194, 21.64309, 21.63804, 21.66966, 1.19275, 0.09451, 897/900
Tue Feb 10 20:45:00 2015, 1423622700, 334, 317, 199, 21.64803, 21.64174, 21.67407, 1.48048, 0.09401, 896/900
Tue Feb 10 21:00:00 2015, 1423623600, 336, 315, 200, 21.65535, 21.64527, 21.67042, 1.70607, 0.09401, 897/900
Tue Feb 10 21:15:00 2015, 1423624500, 329, 316, 194, 21.65385, 21.66283, 21.66570, 1.78739, 0.09401, 896/900
Tue Feb 10 21:30:00 2015, 1423625400, 327, 305, 194, 21.65243, 21.65477, 21.67350, 1.78130, 0.09403, 896/900
Tue Feb 10 21:45:00 2015, 1423626300, 321, 315, 191, 21.65313, 21.64932, 21.67897, 1.84035, 0.09401, 897/900
Tue Feb 10 22:00:00 2015, 1423627200, 331, 307, 193, 21.65422, 21.65930, 21.68110, 1.84285, 0.09400, 896/900
