
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Mon Feb 23 00:00:00 2015, 1424671200, 223, 215, 136, 21.65009, 21.63975, 21.66103, -21.68773, 0.10400, 298/900
Mon Feb 23 00:15:00 2015, 1424672100, 673, 636, 395, 21.64719, 21.63351, 21.68466, -21.69158, 0.10400, 896/900
Mon Feb 23 00:30:00 2015, 1424673000, 676, 641, 396, 21.64525, 21.64340, 21.68017, -21.88622, 0.10400, 897/900
Mon Feb 23 00:45:00 2015, 1424673900, 677, 641, 399, 21.64832, 21.63233, 21.65445, -21.93648, 0.10400, 896/900
Mon Feb 23 01:00:00 2015, 1424674800, 680, 642, 399, 21.64904, 21.63089, 21.68332, -21.99838, 0.10400, 897/900
Mon Feb 23 01:15:00 2015, 1424675700, 679, 639, 396, 21.64853, 21.64030, 21.69021, -22.19458, 0.10400, 896/900
Mon Feb 23 01:30:00 2015, 1424676600, 682, 635, 402, 21.65306, 21.64125, 21.67918, -22.31949, 0.10400, 897/900
Mon Feb 23 01:45:00 2015, 1424677500, 678, 633, 410, 21.65310, 21.62943, 21.67139, -22.32044, 0.10400, 896/900
Mon Feb 23 02:00:00 2015, 1424678400, 669, 642, 411, 21.64889, 21.63725, 21.68243, -22.29811, 0.10400, 896/900
Mon Feb 23 02:15:00 2015, 1424679300, 680, 640, 402, 21.65020, 21.63613, 21.67217, -22.38205, 0.10406, 897/900
Mon Feb 23 02:30:00 2015, 1424680200, 670, 634, 393, 21.65009, 21.64189, 21.67833, -22.50050, 0.10411, 894/900
Mon Feb 23 02:45:00 2015, 1424681100, 680, 643, 414, 21.64621, 21.63638, 21.67860, -22.72377, 0.10404, 897/900
Mon Feb 23 03:00:00 2015, 1424682000, 678, 647, 413, 21.65320, 21.64694, 21.67695, -22.80268, 0.10417, 896/900
Mon Feb 23 03:15:00 2015, 1424682900, 690, 646, 409, 21.65208, 21.63755, 21.68003, -22.81374, 0.10432, 897/900
Mon Feb 23 03:30:00 2015, 1424683800, 691, 652, 411, 21.65584, 21.64211, 21.67139, -22.91288, 0.10478, 896/900
Mon Feb 23 03:45:00 2015, 1424684700, 684, 654, 405, 21.64597, 21.63735, 21.68278, -23.12535, 0.10443, 897/900
Mon Feb 23 04:00:00 2015, 1424685600, 691, 657, 417, 21.64491, 21.64748, 21.67856, -22.97170, 0.10480, 896/900
Mon Feb 23 04:15:00 2015, 1424686500, 687, 651, 407, 21.64867, 21.64129, 21.67927, -23.20306, 0.10463, 897/900
Mon Feb 23 04:30:00 2015, 1424687400, 696, 651, 406, 21.63929, 21.64790, 21.68332, -23.08064, 0.10498, 896/900
Mon Feb 23 04:45:00 2015, 1424688300, 688, 663, 419, 21.65277, 21.63622, 21.68909, -23.05949, 0.10494, 897/900
Mon Feb 23 05:00:00 2015, 1424689200, 700, 664, 416, 21.64664, 21.63845, 21.67924, -23.26504, 0.10498, 896/900
Mon Feb 23 05:15:00 2015, 1424690100, 695, 649, 401, 21.64894, 21.63573, 21.67625, -23.53254, 0.10473, 893/900
Mon Feb 23 05:30:00 2015, 1424691000, 684, 664, 415, 21.64715, 21.63571, 21.67048, -23.33786, 0.10500, 896/900
Mon Feb 23 05:45:00 2015, 1424691900, 699, 678, 410, 21.64870, 21.64204, 21.68594, -23.39355, 0.10500, 897/900
Mon Feb 23 06:00:00 2015, 1424692800, 705, 671, 426, 21.64282, 21.63585, 21.69154, -23.41723, 0.10501, 896/900
Mon Feb 23 06:15:00 2015, 1424693700, 720, 684, 423, 21.64587, 21.63412, 21.68733, -23.40774, 0.10500, 897/900
Mon Feb 23 06:30:00 2015, 1424694600, 705, 673, 421, 21.65371, 21.63384, 21.68025, -23.45598, 0.10500, 896/900
