
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Wed Feb 25 00:00:00 2015, 1424844000, 174, 153, 102, 21.61486, 21.60234, 21.64002, -11.50592, 0.09820, 298/900
Wed Feb 25 00:15:00 2015, 1424844900, 512, 480, 310, 21.61742, 21.61486, 21.65020, -11.90990, 0.09874, 897/900
Wed Feb 25 00:30:00 2015, 1424845800, 508, 478, 310, 21.61518, 21.61570, 21.64522, -11.89983, 0.09895, 896/900
Wed Feb 25 00:45:00 2015, 1424846700, 518, 465, 320, 21.62054, 21.61004, 21.63261, -11.53884, 0.09900, 897/900
Wed Feb 25 01:00:00 2015, 1424847600, 499, 460, 298, 21.62283, 21.61925, 21.64385, -10.92390, 0.09894, 896/900
Wed Feb 25 01:15:00 2015, 1424848500, 496, 446, 308, 21.62224, 21.62583, 21.64261, -10.57263, 0.09879, 897/900
Wed Feb 25 01:30:00 2015, 1424849400, 485, 444, 283, 21.62489, 21.62498, 21.63573, -10.44713, 0.09802, 896/900
Wed Feb 25 01:45:00 2015, 1424850300, 496, 455, 292, 21.61841, 21.60988, 21.62449, -10.47952, 0.09808, 897/900
Wed Feb 25 02:00:00 2015, 1424851200, 500, 447, 290, 21.62719, 21.61588, 21.63189, -10.77636, 0.09806, 896/900
Wed Feb 25 02:15:00 2015, 1424852100, 492, 454, 294, 21.62708, 21.60916, 21.63667, -10.83551, 0.09803, 897/900
Wed Feb 25 02:30:00 2015, 1424853000, 496, 457, 308, 21.61483, 21.61414, 21.63002, -10.84817, 0.09800, 896/900
Wed Feb 25 02:45:00 2015, 1424853900, 494, 449, 299, 21.61743, 21.61564, 21.64312, -10.59515, 0.09801, 897/900
Wed Feb 25 03:00:00 2015, 1424854800, 495, 458, 307, 21.61912, 21.61377, 21.63857, -10.60424, 0.09800, 896/900
Wed Feb 25 03:15:00 2015, 1424855700, 502, 465, 315, 21.62223, 21.61548, 21.64395, -11.11411, 0.09800, 897/900
Wed Feb 25 03:30:00 2015, 1424856600, 510, 469, 297, 21.62195, 21.61650, 21.63893, -11.06975, 0.09861, 896/900
Wed Feb 25 03:45:00 2015, 1424857500, 510, 471, 309, 21.61852, 21.61584, 21.64371, -10.57904, 0.09900, 896/900
Wed Feb 25 04:00:00 2015, 1424858400, 495, 461, 288, 21.62747, 21.61239, 21.65342, -10.24350, 0.09900, 897/900
Wed Feb 25 04:15:00 2015, 1424859300, 513, 466, 297, 21.62689, 21.62019, 21.63713, -10.11210, 0.09887, 896/900
Wed Feb 25 04:30:00 2015, 1424860200, 502, 475, 300, 21.62980, 21.61652, 21.64477, -10.17121, 0.09883, 897/900
Wed Feb 25 04:45:00 2015, 1424861100, 505, 465, 288, 21.62862, 21.62165, 21.64047, -10.19382, 0.09900, 896/900
Wed Feb 25 05:00:00 2015, 1424862000, 509, 475, 303, 21.61847, 21.61086, 21.64718, -10.25875, 0.09900, 897/900
Wed Feb 25 05:15:00 2015, 1424862900, 513, 477, 308, 21.61625, 21.60815, 21.64315, -10.35744, 0.09900, 896/900
Wed Feb 25 05:30:00 2015, 1424863800, 522, 476, 299, 21.61811, 21.61677, 21.64656, -10.36298, 0.09900, 897/900
Wed Feb 25 05:45:00 2015, 1424864700, 507, 476, 304, 21.62156, 21.61372, 21.64329, -10.37719, 0.09899, 896/900
Wed Feb 25 06:00:00 2015, 1424865600, 508, 483, 294, 21.61801, 21.61721, 21.63818, -10.44906, 0.09899, 897/900
Wed Feb 25 06:15:00 2015, 1424866500, 520, 482, 297, 21.62465, 21.61363, 21.63392, -10.67872, 0.09899, 896/900
Wed Feb 25 06:30:00 2015, 1424867400, 521, 484, 306, 21.61631, 21.60921, 21.63784, -11.04246, 0.09900, 896/900
Wed Feb 25 06:45:00 2015, 1424868300, 511, 491, 306, 21.62323, 21.61829, 21.65131, -11.33420, 0.09930, 897/900
Wed Feb 25 07:00:00 2015, 1424869200, 519, 475, 314, 21.61818, 21.61832, 21.65020, -11.49351, 0.10063, 896/900
Wed Feb 25 07:15:00 2015, 1424870100, 518, 477, 306, 21.62185, 21.62009, 21.64446, -11.46908, 0.10423, 897/900
Wed Feb 25 07:30:00 2015, 1424871000, 523, 470, 298, 21.62650, 21.61899, 21.65261, -11.49208, 0.11170, 896/900
Wed Feb 25 07:45:00 2015, 1424871900, 520, 481, 301, 21.62542, 21.61124, 21.64641, -11.45816, 0.12234, 897/900
Wed Feb 25 08:00:00 2015, 1424872800, 521, 466, 312, 21.63273, 21.61747, 21.65062, -11.30758, 0.13728, 897/900
Wed Feb 25 08:15:00 2015, 1424873700, 503, 459, 295, 21.62535, 21.61827, 21.64894, -11.20157, 0.15257, 896/900
Wed Feb 25 08:30:00 2015, 1424874600, 500, 451, 293, 21.62204, 21.62144, 21.64682, -10.96562, 0.17225, 896/900
Wed Feb 25 08:45:00 2015, 1424875500, 509, 432, 296, 21.62510, 21.62201, 21.64914, -10.85691, 0.17826, 897/900
