
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sun Feb  8 00:00:00 2015, 1423375200, 107, 98, 59, 21.67894, 21.67741, 21.69164, 0.80040, 0.09400, 298/900
Sun Feb  8 00:15:00 2015, 1423376100, 336, 284, 197, 21.67440, 21.67464, 21.70513, 0.84270, 0.09402, 896/900
Sun Feb  8 00:30:00 2015, 1423377000, 315, 293, 195, 21.67612, 21.67099, 21.68840, 0.85571, 0.09400, 895/900
Sun Feb  8 00:45:00 2015, 1423377900, 326, 295, 190, 21.67302, 21.67815, 21.69559, 0.91681, 0.09400, 896/900
Sun Feb  8 01:00:00 2015, 1423378800, 318, 286, 195, 21.67239, 21.67209, 21.69873, 1.00829, 0.09400, 897/900
Sun Feb  8 01:15:00 2015, 1423379700, 331, 296, 202, 21.67995, 21.67501, 21.69489, 0.75689, 0.09400, 896/900
Sun Feb  8 01:30:00 2015, 1423380600, 332, 311, 208, 21.66903, 21.66977, 21.67838, 0.51645, 0.09400, 897/900
Sun Feb  8 01:45:00 2015, 1423381500, 333, 302, 197, 21.66099, 21.66236, 21.68530, 0.51765, 0.09401, 896/900
Sun Feb  8 02:00:00 2015, 1423382400, 338, 307, 194, 21.66568, 21.66097, 21.69191, 0.57697, 0.09400, 897/900
Sun Feb  8 02:15:00 2015, 1423383300, 335, 301, 196, 21.66779, 21.66625, 21.68786, 0.62844, 0.09400, 896/900
Sun Feb  8 02:30:00 2015, 1423384200, 335, 306, 204, 21.66165, 21.66455, 21.68464, 0.44196, 0.09400, 897/900
Sun Feb  8 02:45:00 2015, 1423385100, 344, 307, 202, 21.65512, 21.65972, 21.67987, 0.16377, 0.09400, 896/900
Sun Feb  8 03:00:00 2015, 1423386000, 350, 313, 205, 21.65329, 21.65793, 21.67609, 0.04070, 0.09400, 897/900
Sun Feb  8 03:15:00 2015, 1423386900, 349, 316, 203, 21.64690, 21.64777, 21.67398, -0.17503, 0.09400, 896/900
Sun Feb  8 03:30:00 2015, 1423387800, 361, 317, 213, 21.63995, 21.64718, 21.65905, -0.48592, 0.09430, 897/900
Sun Feb  8 03:45:00 2015, 1423388700, 371, 324, 210, 21.64047, 21.63398, 21.65992, -0.50064, 0.09454, 896/900
Sun Feb  8 04:00:00 2015, 1423389600, 362, 322, 220, 21.63141, 21.63210, 21.65444, -0.64371, 0.09499, 897/900
Sun Feb  8 04:15:00 2015, 1423390500, 359, 319, 216, 21.62899, 21.63110, 21.65844, -0.57106, 0.09496, 896/900
Sun Feb  8 04:30:00 2015, 1423391400, 364, 324, 206, 21.63165, 21.63512, 21.65651, -0.52805, 0.09499, 897/900
Sun Feb  8 04:45:00 2015, 1423392300, 351, 328, 217, 21.62792, 21.63035, 21.63903, -0.50320, 0.09495, 896/900
Sun Feb  8 05:00:00 2015, 1423393200, 357, 312, 218, 21.63435, 21.63432, 21.65899, -0.57671, 0.09494, 897/900
Sun Feb  8 05:15:00 2015, 1423394100, 354, 326, 217, 21.62559, 21.63254, 21.64480, -0.65847, 0.09495, 896/900
Sun Feb  8 05:30:00 2015, 1423395000, 357, 312, 230, 21.63071, 21.62596, 21.64917, -0.91188, 0.09470, 897/900
Sun Feb  8 05:45:00 2015, 1423395900, 358, 334, 224, 21.62529, 21.62446, 21.64949, -1.12737, 0.09406, 896/900
Sun Feb  8 06:00:00 2015, 1423396800, 371, 333, 219, 21.62019, 21.62057, 21.64708, -1.38553, 0.09436, 897/900
Sun Feb  8 06:15:00 2015, 1423397700, 368, 340, 226, 21.62094, 21.61711, 21.63703, -1.76180, 0.09492, 896/900
Sun Feb  8 06:30:00 2015, 1423398600, 383, 345, 228, 21.61050, 21.60380, 21.64365, -2.04606, 0.09500, 897/900
Sun Feb  8 06:45:00 2015, 1423399500, 384, 343, 226, 21.61326, 21.61179, 21.63641, -1.95531, 0.09500, 896/900
