
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Wed Feb 18 00:00:00 2015, 1424239200, 215, 204, 120, 21.62009, 21.61088, 21.65377, -17.61299, 0.10226, 298/900
Wed Feb 18 00:15:00 2015, 1424240100, 632, 616, 373, 21.61989, 21.60711, 21.65381, -17.67702, 0.10246, 897/900
Wed Feb 18 00:30:00 2015, 1424241000, 639, 620, 367, 21.62324, 21.60537, 21.64230, -17.77097, 0.10285, 896/900
Wed Feb 18 00:45:00 2015, 1424241900, 638, 615, 379, 21.62748, 21.61047, 21.67221, -17.83121, 0.10298, 897/900
Wed Feb 18 01:00:00 2015, 1424242800, 642, 608, 371, 21.62504, 21.61000, 21.65856, -18.03624, 0.10296, 896/900
Wed Feb 18 01:15:00 2015, 1424243700, 622, 608, 376, 21.62819, 21.61662, 21.65395, -18.34029, 0.10300, 897/900
Wed Feb 18 01:30:00 2015, 1424244600, 644, 629, 375, 21.63019, 21.61410, 21.65123, -18.56777, 0.10300, 896/900
Wed Feb 18 01:45:00 2015, 1424245500, 649, 635, 393, 21.63134, 21.61256, 21.65351, -18.72527, 0.10300, 897/900
Wed Feb 18 02:00:00 2015, 1424246400, 648, 637, 384, 21.62486, 21.61500, 21.65420, -18.92771, 0.10300, 896/900
Wed Feb 18 02:15:00 2015, 1424247300, 656, 634, 381, 21.62961, 21.60906, 21.64490, -19.06119, 0.10305, 897/900
Wed Feb 18 02:30:00 2015, 1424248200, 665, 636, 382, 21.63237, 21.61588, 21.64242, -19.16707, 0.10338, 896/900
Wed Feb 18 02:45:00 2015, 1424249100, 662, 627, 385, 21.61738, 21.60368, 21.64918, -19.34933, 0.10344, 897/900
Wed Feb 18 03:00:00 2015, 1424250000, 663, 647, 395, 21.62201, 21.60624, 21.65672, -19.49309, 0.10358, 896/900
Wed Feb 18 03:15:00 2015, 1424250900, 662, 626, 391, 21.62672, 21.61572, 21.65662, -19.65877, 0.10355, 897/900
Wed Feb 18 03:30:00 2015, 1424251800, 651, 633, 401, 21.63697, 21.61787, 21.65975, -19.82293, 0.10392, 896/900
Wed Feb 18 03:45:00 2015, 1424252700, 657, 638, 395, 21.62978, 21.61115, 21.65668, -19.94745, 0.10397, 897/900
Wed Feb 18 04:00:00 2015, 1424253600, 667, 628, 396, 21.63814, 21.62799, 21.64836, -20.12084, 0.10383, 896/900
Wed Feb 18 04:15:00 2015, 1424254500, 659, 620, 393, 21.64012, 21.62486, 21.67764, -20.24341, 0.10396, 897/900
Wed Feb 18 04:30:00 2015, 1424255400, 665, 620, 390, 21.64013, 21.62500, 21.66888, -20.35948, 0.10399, 896/900
Wed Feb 18 04:45:00 2015, 1424256300, 657, 629, 389, 21.63846, 21.63002, 21.66614, -20.46618, 0.10400, 897/900
Wed Feb 18 05:00:00 2015, 1424257200, 664, 625, 393, 21.64131, 21.62132, 21.66804, -20.57992, 0.10400, 896/900
Wed Feb 18 05:15:00 2015, 1424258100, 665, 634, 393, 21.63251, 21.62910, 21.65983, -20.75245, 0.10398, 897/900
Wed Feb 18 05:30:00 2015, 1424259000, 676, 636, 390, 21.63517, 21.62926, 21.66747, -20.76614, 0.10399, 896/900
Wed Feb 18 05:45:00 2015, 1424259900, 666, 645, 396, 21.63471, 21.62649, 21.66590, -20.80677, 0.10400, 897/900
Wed Feb 18 06:00:00 2015, 1424260800, 671, 641, 402, 21.64031, 21.63445, 21.65007, -20.96828, 0.10400, 896/900
Wed Feb 18 06:15:00 2015, 1424261700, 667, 641, 410, 21.63364, 21.61835, 21.65650, -21.04072, 0.10400, 897/900
Wed Feb 18 06:30:00 2015, 1424262600, 664, 643, 405, 21.62643, 21.62132, 21.65791, -21.23265, 0.10400, 896/900
Wed Feb 18 06:45:00 2015, 1424263500, 686, 655, 400, 21.62601, 21.62664, 21.65622, -21.23955, 0.10400, 897/900
Wed Feb 18 07:00:00 2015, 1424264400, 677, 655, 397, 21.63577, 21.61861, 21.66382, -21.39737, 0.10472, 897/900
Wed Feb 18 07:15:00 2015, 1424265300, 687, 651, 398, 21.63658, 21.62863, 21.67062, -21.34543, 0.10918, 896/900
Wed Feb 18 07:30:00 2015, 1424266200, 673, 640, 398, 21.63803, 21.62954, 21.66460, -21.33006, 0.12043, 897/900
