
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Fri Feb 13 00:00:00 2015, 1423807200, 186, 166, 100, 21.61970, 21.60567, 21.63548, -13.09308, 0.10050, 298/900
Fri Feb 13 00:15:00 2015, 1423808100, 536, 504, 327, 21.61508, 21.61467, 21.64385, -12.97287, 0.10010, 896/900
Fri Feb 13 00:30:00 2015, 1423809000, 542, 514, 322, 21.62473, 21.60635, 21.64694, -12.78297, 0.10000, 897/900
Fri Feb 13 00:45:00 2015, 1423809900, 545, 506, 307, 21.62013, 21.61415, 21.65416, -12.52188, 0.10000, 896/900
Fri Feb 13 01:00:00 2015, 1423810800, 523, 506, 307, 21.62598, 21.61323, 21.63663, -12.41682, 0.10000, 897/900
Fri Feb 13 01:15:00 2015, 1423811700, 531, 498, 306, 21.62269, 21.61480, 21.65796, -12.00675, 0.10000, 896/900
Fri Feb 13 01:30:00 2015, 1423812600, 513, 484, 308, 21.62561, 21.60433, 21.65218, -11.12532, 0.09990, 897/900
Fri Feb 13 01:45:00 2015, 1423813500, 500, 478, 304, 21.62365, 21.62030, 21.65869, -10.54053, 0.09916, 896/900
Fri Feb 13 02:00:00 2015, 1423814400, 500, 468, 309, 21.62791, 21.61148, 21.64267, -10.19618, 0.09900, 896/900
Fri Feb 13 02:15:00 2015, 1423815300, 490, 469, 290, 21.62381, 21.62266, 21.65611, -9.95991, 0.09900, 896/900
Fri Feb 13 02:30:00 2015, 1423816200, 496, 466, 286, 21.62894, 21.61833, 21.64799, -9.84027, 0.09899, 897/900
Fri Feb 13 02:45:00 2015, 1423817100, 486, 461, 316, 21.63648, 21.62127, 21.64954, -9.76659, 0.09885, 896/900
Fri Feb 13 03:00:00 2015, 1423818000, 490, 472, 282, 21.63039, 21.61687, 21.65261, -9.69818, 0.09890, 896/900
Fri Feb 13 03:15:00 2015, 1423818900, 489, 457, 286, 21.62269, 21.61156, 21.64493, -9.54752, 0.09865, 897/900
Fri Feb 13 03:30:00 2015, 1423819800, 489, 462, 297, 21.62264, 21.61094, 21.64883, -9.30082, 0.09857, 896/900
Fri Feb 13 03:45:00 2015, 1423820700, 478, 456, 300, 21.62324, 21.61772, 21.64676, -9.17175, 0.09801, 897/900
Fri Feb 13 04:00:00 2015, 1423821600, 480, 445, 285, 21.62063, 21.61686, 21.65972, -9.14014, 0.09804, 896/900
Fri Feb 13 04:15:00 2015, 1423822500, 469, 439, 279, 21.62531, 21.61219, 21.62644, -8.95385, 0.09801, 896/900
