
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Mon Feb  9 00:00:00 2015, 1423461600, 133, 122, 71, 21.61119, 21.60887, 21.66164, -2.87951, 0.09521, 298/900
Mon Feb  9 00:15:00 2015, 1423462500, 391, 359, 237, 21.60740, 21.60664, 21.63460, -2.94366, 0.09537, 897/900
Mon Feb  9 00:30:00 2015, 1423463400, 397, 366, 221, 21.60647, 21.60259, 21.63416, -3.08818, 0.09538, 896/900
Mon Feb  9 00:45:00 2015, 1423464300, 403, 366, 241, 21.61017, 21.60305, 21.62862, -3.21845, 0.09575, 897/900
Mon Feb  9 01:00:00 2015, 1423465200, 389, 365, 236, 21.60779, 21.61160, 21.63294, -3.32801, 0.09599, 896/900
Mon Feb  9 01:15:00 2015, 1423466100, 397, 369, 234, 21.60329, 21.61146, 21.61993, -3.41482, 0.09596, 897/900
Mon Feb  9 01:30:00 2015, 1423467000, 413, 367, 231, 21.61221, 21.60186, 21.63282, -3.49407, 0.09597, 896/900
Mon Feb  9 01:45:00 2015, 1423467900, 408, 377, 231, 21.61201, 21.60655, 21.63192, -3.53535, 0.09592, 897/900
Mon Feb  9 02:00:00 2015, 1423468800, 395, 356, 239, 21.61459, 21.60947, 21.61809, -3.65220, 0.09584, 896/900
Mon Feb  9 02:15:00 2015, 1423469700, 405, 370, 249, 21.60865, 21.60308, 21.62256, -3.74628, 0.09598, 897/900
Mon Feb  9 02:30:00 2015, 1423470600, 404, 376, 236, 21.60621, 21.60827, 21.63291, -3.85590, 0.09579, 896/900
Mon Feb  9 02:45:00 2015, 1423471500, 402, 370, 245, 21.60742, 21.60572, 21.62938, -3.95395, 0.09598, 897/900
Mon Feb  9 03:00:00 2015, 1423472400, 407, 376, 252, 21.60731, 21.59452, 21.62515, -4.07145, 0.09600, 896/900
Mon Feb  9 03:15:00 2015, 1423473300, 396, 373, 244, 21.60522, 21.60267, 21.63102, -4.12720, 0.09600, 896/900
Mon Feb  9 03:30:00 2015, 1423474200, 409, 378, 233, 21.60468, 21.60470, 21.62546, -4.18851, 0.09600, 897/900
Mon Feb  9 03:45:00 2015, 1423475100, 413, 374, 252, 21.61177, 21.60672, 21.62268, -4.22573, 0.09600, 896/900
Mon Feb  9 04:00:00 2015, 1423476000, 405, 375, 236, 21.60461, 21.61129, 21.62744, -4.26199, 0.09600, 897/900
Mon Feb  9 04:15:00 2015, 1423476900, 400, 374, 243, 21.59878, 21.59839, 21.62717, -4.27825, 0.09600, 896/900
Mon Feb  9 04:30:00 2015, 1423477800, 396, 369, 246, 21.60279, 21.60114, 21.62376, -4.29748, 0.09600, 897/900
Mon Feb  9 04:45:00 2015, 1423478700, 407, 372, 242, 21.60307, 21.60134, 21.61605, -4.30369, 0.09600, 894/900
