
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Fri Feb  6 00:00:00 2015, 1423202400, 159, 153, 91, 21.64228, 21.62913, 21.64328, -9.73008, 0.09891, 297/900
Fri Feb  6 00:15:00 2015, 1423203300, 482, 454, 292, 21.64298, 21.64041, 21.65554, -9.66070, 0.09870, 897/900
Fri Feb  6 00:30:00 2015, 1423204200, 494, 459, 293, 21.64298, 21.63160, 21.66862, -9.46907, 0.09836, 896/900
Fri Feb  6 00:45:00 2015, 1423205100, 478, 451, 297, 21.64082, 21.63209, 21.67418, -9.28768, 0.09824, 897/900
Fri Feb  6 01:00:00 2015, 1423206000, 478, 448, 292, 21.64415, 21.63803, 21.65951, -9.20022, 0.09808, 896/900
Fri Feb  6 01:15:00 2015, 1423206900, 487, 458, 285, 21.64850, 21.64316, 21.65563, -9.05322, 0.09800, 897/900
Fri Feb  6 01:30:00 2015, 1423207800, 470, 448, 276, 21.64905, 21.64268, 21.66052, -8.81818, 0.09800, 896/900
Fri Feb  6 01:45:00 2015, 1423208700, 477, 437, 278, 21.64993, 21.64964, 21.67435, -8.74295, 0.09800, 896/900
Fri Feb  6 02:00:00 2015, 1423209600, 461, 434, 280, 21.64167, 21.64350, 21.67086, -8.51033, 0.09799, 896/900
Fri Feb  6 02:15:00 2015, 1423210500, 458, 417, 265, 21.64849, 21.64060, 21.66677, -8.33886, 0.09787, 897/900
Fri Feb  6 02:30:00 2015, 1423211400, 446, 426, 277, 21.65087, 21.63938, 21.67322, -8.26592, 0.09742, 896/900
Fri Feb  6 02:45:00 2015, 1423212300, 464, 427, 278, 21.64593, 21.63545, 21.67009, -8.29392, 0.09724, 896/900
Fri Feb  6 03:00:00 2015, 1423213200, 460, 430, 266, 21.63861, 21.63281, 21.65781, -8.28452, 0.09710, 897/900
Fri Feb  6 03:15:00 2015, 1423214100, 452, 431, 276, 21.63905, 21.63662, 21.66021, -7.99945, 0.09700, 896/900
Fri Feb  6 03:30:00 2015, 1423215000, 454, 421, 273, 21.64383, 21.63240, 21.66237, -7.56609, 0.09700, 897/900
Fri Feb  6 03:45:00 2015, 1423215900, 458, 412, 261, 21.63898, 21.64341, 21.66399, -7.33920, 0.09700, 896/900
Fri Feb  6 04:00:00 2015, 1423216800, 441, 411, 272, 21.64234, 21.64641, 21.65868, -7.21465, 0.09700, 897/900
Fri Feb  6 04:15:00 2015, 1423217700, 444, 413, 258, 21.64308, 21.63304, 21.66480, -7.36015, 0.09700, 896/900
Fri Feb  6 04:30:00 2015, 1423218600, 461, 413, 284, 21.63698, 21.63060, 21.65865, -7.49435, 0.09700, 896/900
Fri Feb  6 04:45:00 2015, 1423219500, 448, 402, 266, 21.63850, 21.63578, 21.65622, -7.38078, 0.09699, 896/900
